"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","Comp-APC-A :: CD19","Comp-APC-Cy7-A :: CD4","Comp-AmCyan-A :: L_D","Comp-BV711-A :: CD8","Comp-FITC-A :: CD49b","Comp-PE-A :: CD45","Comp-PE-Cy7-A :: TCRb","Comp-Pacific Blue-A :: NKp46","Time"
375,336,286,115,104,282,232,376,572,228,424,726,475,242,1
258,238,278,93,83,286,244,541,371,223,214,714,585,230,4
359,316,291,126,115,281,222,540,625,257,348,714,685,266,10
411,377,279,80,73,279,237,537,511,220,263,670,510,248,36
369,332,284,75,71,268,268,476,489,222,286,695,479,246,50
315,299,270,132,120,283,259,596,580,216,187,753,630,243,50
254,215,302,121,114,271,246,545,604,231,432,682,563,244,51
382,343,285,97,91,273,265,462,437,223,353,716,400,229,52
155,137,289,104,90,294,220,575,569,254,412,727,460,230,52
273,254,275,76,69,284,256,548,500,219,374,760,611,255,104
449,400,287,98,89,280,249,603,596,237,427,688,557,244,106
284,252,289,95,87,280,233,501,588,215,321,755,607,239,111
289,244,303,113,100,289,268,562,599,231,280,723,614,233,145
380,350,277,60,58,264,239,413,395,221,382,683,559,232,148
489,436,287,86,80,277,246,583,608,242,461,715,686,232,154
361,324,286,96,90,272,258,494,493,240,390,662,620,237,178
316,274,296,85,80,272,237,560,558,224,440,734,623,245,181
363,333,279,78,75,269,258,507,512,240,397,749,639,250,185
276,247,286,95,91,267,256,489,447,241,326,661,608,243,187
366,317,296,114,106,275,252,515,536,236,360,681,614,242,193
382,325,301,138,118,299,260,553,720,242,380,688,641,238,193
261,233,287,107,95,288,285,498,664,257,384,746,576,268,206
236,220,274,47,43,276,248,503,502,219,271,708,608,239,225
299,274,279,76,70,279,268,574,465,218,189,705,650,240,236
317,283,287,126,118,272,248,489,540,238,420,679,373,256,245
342,320,273,87,80,278,268,520,572,227,418,778,666,250,245
191,161,303,173,147,301,247,588,645,223,476,744,715,231,270
408,375,278,80,76,269,225,443,422,240,405,675,389,236,271
442,406,279,96,88,279,259,599,514,235,365,709,570,245,273
373,345,277,57,53,274,246,537,475,219,349,716,651,226,285
432,390,284,107,102,268,240,443,384,242,443,749,600,232,310
435,389,286,105,98,274,246,553,562,242,468,761,630,229,321
306,294,266,149,136,281,263,536,595,253,482,745,618,251,324
282,258,281,58,56,265,246,393,446,248,314,671,515,260,352
363,325,286,127,115,281,245,505,560,223,255,743,681,258,358
