"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","Comp-APC-A :: CD19","Comp-APC-Cy7-A :: CD4","Comp-AmCyan-A :: L_D","Comp-BV711-A :: CD8","Comp-FITC-A :: CD49b","Comp-PE-A :: CD45","Comp-PE-Cy7-A :: TCRb","Comp-Pacific Blue-A :: NKp46","Time"
285,259,282,88,80,282,241,488,525,233,378,796,676,243,7
276,232,305,130,116,286,263,562,565,235,386,695,587,244,9
238,212,287,81,74,279,241,580,491,244,306,747,644,266,17
330,287,294,92,83,286,229,583,558,230,455,803,649,233,20
564,546,265,66,59,285,261,556,537,229,315,666,629,238,21
355,331,275,92,85,277,256,561,482,223,429,785,518,241,23
411,376,280,91,82,284,248,602,575,228,459,757,699,239,34
380,336,289,123,115,273,259,614,566,238,281,743,703,224,47
367,340,277,153,135,291,238,667,644,236,443,735,683,237,50
201,179,287,89,81,282,260,578,495,219,150,758,743,244,54
352,313,289,104,97,275,233,594,539,238,373,724,614,242,62
479,365,336,384,243,404,303,535,696,236,568,733,562,282,66
274,245,286,57,51,287,246,520,380,239,166,684,590,237,66
317,286,284,76,70,279,285,463,575,217,415,744,565,252,75
243,222,281,82,76,278,265,563,571,259,311,761,610,239,81
332,294,289,121,110,283,256,601,548,268,446,773,719,260,90
310,269,295,94,87,276,247,555,505,230,243,738,655,246,91
325,278,299,204,177,295,271,546,595,218,499,758,667,237,94
365,335,279,117,106,283,275,515,606,250,483,796,648,254,101
189,178,272,72,69,267,217,486,665,213,279,631,517,239,102
382,351,278,77,74,266,258,451,495,246,484,723,641,238,104
357,333,275,44,43,265,229,442,526,234,351,665,492,248,107
561,520,276,83,78,271,226,520,603,246,421,747,653,243,108
402,367,280,110,105,268,248,555,572,251,414,738,676,257,111
271,230,302,101,93,276,235,551,564,223,265,769,551,229,116
207,154,344,137,120,291,227,537,594,244,381,755,539,245,119
377,345,280,70,64,279,254,533,549,245,366,665,567,238,120
562,532,271,106,95,286,239,544,636,233,451,768,554,229,122
282,256,283,74,68,281,272,510,551,229,420,726,520,244,127
322,293,281,66,63,267,238,464,548,237,416,690,445,256,131
407,377,276,76,72,270,235,530,468,225,429,727,664,248,131
368,318,297,121,103,303,257,583,513,224,191,775,731,234,137
406,376,277,62,60,265,231,472,453,230,392,723,413,229,139
469,428,280,71,68,268,239,558,542,243,470,715,702,249,143
405,375,276,96,91,270,224,474,580,234,499,784,615,231,143
244,218,287,73,66,281,265,555,509,221,160,684,433,240,146
363,335,277,103,92,287,229,569,507,256,270,775,637,247,149
250,221,289,98,90,277,250,520,471,237,383,720,542,239,156
533,492,277,133,121,283,230,578,565,240,506,803,661,232,160
289,245,301,111,103,276,267,547,401,241,356,699,671,237,166
415,389,273,125,115,279,251,506,646,247,473,776,684,266,170
403,365,282,65,61,271,249,536,572,258,387,708,622,241,173
419,376,286,96,90,275,248,593,587,254,451,733,571,261,179
417,396,270,61,58,270,233,375,591,238,181,671,555,222,185
303,269,288,95,86,280,260,565,552,255,193,786,712,237,192
460,431,273,92,88,270,265,536,577,220,383,701,701,243,192
350,322,278,63,60,271,245,482,503,240,312,709,562,233,193
575,551,267,116,101,295,243,511,569,226,349,709,594,240,193
405,382,272,77,73,272,270,498,521,280,374,743,611,234,197
325,295,282,98,90,279,245,543,306,230,310,748,578,242,224
375,342,280,70,65,275,229,509,411,207,435,766,622,244,227
304,260,299,117,99,302,241,611,570,225,395,782,674,238,227
177,146,310,83,70,301,261,569,604,226,257,737,646,236,239
405,373,278,63,61,265,244,513,517,230,351,696,655,239,240
403,351,293,103,97,270,255,590,606,240,501,764,624,234,240
330,287,295,99,87,290,259,576,579,221,358,700,643,235,242
398,353,289,84,76,284,245,532,487,224,336,792,683,230,248
485,442,281,106,96,282,231,505,555,229,509,810,684,243,249
296,264,287,120,111,277,255,503,541,231,450,774,678,253,255
290,258,288,103,99,266,259,463,551,231,233,635,537,223,265
521,478,279,65,62,271,245,534,571,217,314,699,650,239,267
368,337,280,124,114,278,245,582,521,215,231,719,686,242,271
399,363,281,77,71,276,247,558,524,226,249,743,651,246,275
598,552,277,101,96,268,266,543,570,274,473,681,494,243,281
376,342,281,69,63,280,243,457,511,228,328,744,545,248,282
440,403,280,98,92,273,222,585,444,248,378,711,557,255,283
315,286,282,106,92,296,246,559,497,219,336,693,642,236,291
364,328,284,61,58,269,237,505,580,226,322,720,599,233,292
503,462,279,136,127,275,250,573,602,244,315,769,659,247,299
321,292,281,67,64,269,226,484,559,227,389,659,584,234,304
316,290,278,55,53,266,249,426,538,228,333,744,581,245,313
287,261,281,87,80,278,243,469,531,213,193,776,501,237,314
379,346,280,58,56,264,259,447,573,225,389,722,611,231,323
477,419,291,121,68,457,247,483,721,234,408,707,537,257,324
368,342,276,105,95,282,232,601,485,239,505,740,580,245,331
314,280,287,93,87,275,240,558,506,232,274,746,519,245,334
303,271,286,101,92,282,236,544,579,208,420,775,615,231,335
223,197,290,34,31,278,252,472,392,226,257,683,587,248,336
