"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","Comp-APC-A :: CD19","Comp-APC-Cy7-A :: CD4","Comp-AmCyan-A :: L_D","Comp-BV711-A :: CD8","Comp-FITC-A :: CD49b","Comp-PE-A :: CD45","Comp-PE-Cy7-A :: TCRb","Comp-Pacific Blue-A :: NKp46","Time"
473,440,276,48,46,265,238,406,569,246,333,667,511,216,1
308,273,289,155,141,281,241,499,605,223,412,723,603,232,2
292,255,293,113,104,278,262,547,511,254,331,704,491,242,4
377,344,280,114,105,278,259,599,536,241,372,740,664,226,8
460,425,277,68,66,265,242,529,561,228,281,633,607,233,9
400,356,288,144,135,272,264,542,597,237,293,729,602,223,10
538,489,281,231,201,295,248,646,652,240,507,775,642,250,11
428,396,277,56,53,270,242,512,392,227,243,654,495,254,12
350,313,287,86,81,272,244,495,429,230,316,730,593,228,14
362,331,280,114,107,273,238,529,562,254,404,740,644,243,19
382,355,276,121,104,296,277,537,652,252,465,758,677,291,23
452,433,267,102,94,280,254,559,594,244,415,710,637,248,23
389,362,275,60,56,273,244,480,505,237,353,700,564,242,24
372,333,286,99,94,272,222,528,567,232,300,687,668,236,25
410,359,292,147,137,275,256,545,582,230,477,755,679,239,29
522,472,283,149,138,277,241,552,528,235,404,652,611,228,35
392,351,286,103,92,284,264,527,529,218,194,805,644,252,35
302,261,297,121,108,287,260,498,544,246,375,777,592,239,46
389,361,276,88,83,274,229,584,426,223,398,712,659,249,48
198,161,316,135,118,292,269,531,513,245,432,754,714,224,50
677,627,276,102,96,270,236,510,398,230,469,771,583,237,54
262,221,303,93,86,279,230,439,589,226,296,763,609,235,56
470,426,282,148,136,278,266,523,578,235,393,712,709,244,58
570,540,270,112,104,276,229,501,538,252,380,691,577,235,59
331,296,286,114,105,277,233,496,556,218,334,766,597,244,62
409,373,281,108,103,269,254,540,579,216,356,757,390,243,64
312,285,279,84,80,270,250,533,492,238,405,701,611,232,66
410,376,278,59,56,270,227,558,534,222,243,710,637,224,80
428,386,284,115,106,278,231,483,497,256,407,654,457,242,81
439,413,272,110,101,281,263,508,581,223,325,792,675,224,85
341,307,284,77,73,271,280,507,537,236,413,733,589,231,88
363,336,276,54,52,268,240,477,471,231,167,701,625,235,97
376,355,272,82,79,267,244,486,503,234,295,602,466,225,98
330,275,308,105,95,283,254,561,626,227,436,777,656,245,98
225,207,279,136,122,285,254,507,620,225,292,734,603,237,100
917,701,335,410,330,318,320,489,722,248,573,729,617,272,101
352,306,295,104,97,275,244,527,442,239,444,692,645,249,102
301,279,277,132,119,285,278,550,428,228,444,698,598,247,103
409,371,282,103,92,285,230,546,604,226,369,773,576,270,106
242,216,287,66,60,286,250,494,431,207,114,699,551,235,108
422,392,276,177,150,302,262,549,611,228,450,750,615,237,110
867,696,319,361,296,313,286,661,681,262,492,797,717,257,124
244,223,280,61,57,278,235,486,515,234,270,707,517,240,124
268,237,289,111,104,275,246,483,532,268,398,692,568,239,125
232,189,315,126,114,283,264,562,495,239,448,716,560,229,127
446,407,281,104,95,280,255,445,581,239,435,753,497,254,128
319,290,281,61,57,275,242,463,473,240,237,748,606,232,129
480,439,280,72,69,267,245,529,541,240,331,720,678,235,130
498,459,277,205,175,300,240,579,583,244,486,722,620,243,133
468,430,279,79,74,274,265,515,585,238,356,740,619,225,133
345,309,286,120,110,278,232,523,549,239,288,791,561,236,137
299,268,286,154,132,297,262,583,557,242,366,766,607,254,138
778,604,330,294,234,322,307,495,678,233,492,793,528,281,138
389,360,276,56,52,274,251,384,377,240,289,712,619,229,150
527,482,280,104,98,272,272,522,529,234,461,693,450,311,151
264,225,300,91,84,278,232,520,572,250,356,700,397,229,168
271,242,287,103,96,275,260,488,503,243,306,686,625,239,169
482,440,281,197,181,278,251,556,540,236,560,819,625,247,178
320,280,292,143,135,271,254,514,489,242,466,714,463,247,187
306,270,290,229,193,304,275,595,604,225,310,826,633,260,190
