"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","Comp-APC-A :: CD19","Comp-APC-Cy7-A :: CD4","Comp-AmCyan-A :: L_D","Comp-BV711-A :: CD8","Comp-FITC-A :: CD49b","Comp-PE-A :: CD45","Comp-PE-Cy7-A :: TCRb","Comp-Pacific Blue-A :: NKp46","Time"
303,269,288,72,65,282,587,241,541,265,320,691,257,236,249
523,454,295,150,134,287,481,237,623,245,453,631,226,230,249
265,223,303,131,117,285,545,241,436,228,491,774,239,245,251
254,230,282,81,77,269,497,242,416,236,243,712,248,224,252
385,342,288,80,73,282,549,227,554,216,336,645,217,241,256
305,281,277,91,85,274,492,240,494,227,305,693,231,230,256
291,262,284,66,62,272,584,219,504,230,288,691,224,240,257
330,299,283,85,80,270,564,237,472,225,401,672,260,243,259
300,283,271,75,69,277,582,249,452,232,263,716,231,236,262
363,331,280,94,89,272,527,233,489,243,260,654,242,228,263
359,291,316,183,156,300,566,255,622,243,524,789,262,243,268
339,310,279,111,106,267,536,232,571,223,253,680,241,236,269
266,239,285,99,92,275,558,227,478,227,388,678,239,247,270
267,241,283,74,70,271,562,237,548,219,185,685,236,221,271
193,170,291,76,68,287,447,226,448,227,319,638,242,228,275
210,198,272,82,76,277,611,226,569,245,284,702,243,237,276
250,229,279,76,70,278,490,248,556,222,604,655,237,252,279
234,214,280,95,87,280,553,240,357,266,458,693,242,252,280
386,355,278,106,98,278,561,250,536,224,433,746,233,243,282
286,257,285,109,101,275,578,233,435,239,372,702,242,254,285
233,210,284,79,74,275,541,235,525,247,347,693,244,242,287
176,144,313,107,88,313,485,222,542,243,317,787,224,243,287
422,388,279,82,78,269,583,254,588,245,380,725,221,235,289
209,184,291,108,98,281,620,233,526,233,379,721,235,244,290
324,297,279,108,104,265,558,251,533,232,414,732,236,225,291
426,372,293,98,84,300,582,246,550,233,435,758,257,237,292
252,236,273,61,58,268,534,232,463,210,223,699,237,246,293
272,231,301,102,91,289,502,245,412,214,257,733,225,248,295
288,256,289,70,63,284,548,224,540,257,371,683,237,240,300
459,412,285,190,166,293,620,227,609,225,452,785,254,244,301
337,296,292,61,57,278,427,224,523,223,410,752,230,248,308
270,223,310,174,150,297,629,230,677,240,434,719,258,252,312
327,295,284,85,81,271,509,215,500,234,361,695,233,238,314
205,175,300,86,78,281,578,236,525,223,444,665,222,224,315
193,176,281,44,41,274,424,238,732,209,279,695,233,248,317
417,369,290,76,72,271,416,240,532,243,334,723,232,230,319
215,202,272,115,101,292,546,236,518,254,409,725,248,232,321
774,636,312,222,184,310,527,239,643,249,493,828,281,235,327
158,144,281,63,58,275,499,243,619,255,418,672,232,237,328
287,243,302,176,154,292,510,240,586,242,300,766,263,240,330
340,287,303,171,148,294,577,212,558,236,440,691,228,233,330
402,378,272,72,69,266,537,224,488,230,369,679,244,242,332
292,275,271,91,83,281,606,224,605,240,397,721,228,239,333
265,244,278,71,65,278,555,239,424,215,410,717,241,241,335
356,324,281,100,96,265,542,237,499,247,421,697,220,257,339
179,158,290,68,65,271,515,239,509,241,310,702,231,222,339
322,291,284,84,79,274,527,224,551,228,376,697,242,229,341
316,283,287,65,62,268,551,219,462,257,348,650,245,231,342
321,296,277,52,50,267,559,231,498,219,331,688,256,233,342
410,372,283,80,77,267,523,246,545,232,451,678,231,249,343
351,320,281,68,66,266,544,240,575,250,359,693,229,246,350
445,422,270,60,59,263,546,236,401,233,430,688,243,232,353
263,237,284,111,105,271,584,243,520,233,249,696,229,244,355
213,193,282,80,73,278,554,239,507,225,297,689,228,237,358
249,225,283,78,74,271,552,234,469,224,344,704,239,250,364
267,215,318,146,127,294,603,240,607,224,382,672,253,246,365
422,364,297,153,128,306,437,222,581,236,475,769,259,234,365
327,299,280,61,57,276,546,229,394,220,175,664,234,247,367
215,201,274,112,99,288,620,231,555,230,396,709,265,235,371
257,237,278,73,68,275,556,234,440,223,352,702,230,236,375
281,258,279,62,57,277,560,239,308,209,376,714,302,235,380
338,308,281,51,47,277,533,252,402,219,239,751,265,262,382
233,205,291,137,126,279,622,229,586,244,458,727,277,238,382
239,219,280,83,77,278,541,238,466,246,334,673,255,245,386
248,228,278,62,58,273,530,242,382,231,289,705,254,243,390
233,195,305,78,72,275,532,260,500,232,274,686,232,236,390
295,232,325,340,282,308,434,214,612,254,370,672,256,239,392
446,420,271,59,56,270,415,225,611,221,243,632,237,227,392
321,285,289,69,62,282,485,259,563,232,456,741,251,254,397
432,403,275,68,67,260,572,229,496,227,420,669,225,240,402
429,353,311,152,135,289,496,238,614,247,434,740,236,252,407
287,213,345,215,180,306,549,230,518,241,441,819,258,231,409
300,272,283,102,99,265,534,240,563,222,250,655,234,242,410
414,376,282,75,72,270,511,251,451,236,477,661,230,243,419
201,168,306,232,190,312,605,235,596,234,527,815,252,250,430
382,307,319,137,118,296,540,235,528,223,390,759,249,237,433
235,206,292,93,86,278,632,236,504,211,368,731,253,250,440
248,225,282,62,58,274,523,233,504,223,297,680,234,238,441
160,142,288,101,88,294,568,251,459,230,388,703,258,250,444
476,405,301,123,108,293,479,227,591,233,503,747,259,244,446
622,515,309,163,145,288,426,245,524,236,340,744,236,228,450
262,239,281,76,71,275,572,242,456,228,303,714,235,222,456
313,287,279,55,52,271,486,229,439,225,378,672,223,246,456
299,270,284,74,70,272,557,222,684,256,319,670,240,249,457
417,389,274,50,47,268,518,232,462,217,336,673,224,241,457
