"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","Comp-APC-A :: CD19","Comp-APC-Cy7-A :: CD4","Comp-AmCyan-A :: L_D","Comp-BV711-A :: CD8","Comp-FITC-A :: CD49b","Comp-PE-A :: CD45","Comp-PE-Cy7-A :: TCRb","Comp-Pacific Blue-A :: NKp46","Time"
169,150,289,68,61,283,546,235,548,224,280,719,239,236,0
350,325,276,55,52,271,511,231,429,219,381,654,245,235,1
322,291,283,76,70,276,561,231,543,218,370,718,228,238,2
360,333,277,58,55,269,560,229,535,238,341,690,245,227,3
317,283,286,84,77,277,577,239,442,231,456,702,242,255,3
244,219,286,81,73,285,594,232,585,243,370,666,228,234,3
319,296,276,43,41,272,499,229,553,224,349,659,255,236,3
361,335,276,53,48,282,594,225,547,224,371,712,241,256,5
363,339,274,77,74,269,565,247,564,242,420,691,225,237,9
402,375,275,50,48,267,517,223,484,236,273,675,237,232,10
470,452,267,55,51,276,511,237,629,249,367,688,250,229,10
477,447,273,71,66,274,497,229,516,234,349,691,245,234,11
188,173,278,42,39,272,537,210,573,256,299,704,233,230,12
291,265,281,91,86,271,565,237,509,224,348,685,240,236,12
227,212,274,54,49,280,564,245,485,258,386,718,248,237,12
286,258,283,81,74,280,486,239,519,243,302,708,220,248,14
381,352,277,66,61,281,490,241,649,244,343,688,244,244,14
250,220,291,84,78,276,534,235,558,240,388,697,313,226,15
349,325,275,109,102,273,563,237,460,239,215,690,238,252,15
274,250,281,104,91,292,550,253,518,255,356,670,249,239,16
373,347,275,81,69,300,568,242,614,257,286,692,247,217,17
306,281,279,70,65,278,598,238,533,210,227,685,231,225,18
334,307,279,57,53,279,543,224,406,226,324,693,256,252,18
277,256,277,49,44,286,546,258,534,232,269,727,235,234,19
431,402,274,50,48,265,525,225,444,229,315,684,243,242,19
337,316,273,44,42,266,504,226,412,230,338,682,251,238,22
480,441,278,56,52,274,533,230,558,242,425,702,239,243,22
413,377,280,112,103,279,628,230,585,217,410,697,221,248,23
242,222,280,77,72,277,597,222,350,228,218,699,232,256,24
385,364,271,67,65,265,452,237,569,253,457,678,234,238,25
345,315,280,71,66,276,506,249,555,215,432,664,245,233,26
243,212,293,72,67,279,549,235,449,235,248,731,241,237,26
451,421,274,68,63,275,530,233,609,240,450,694,245,245,28
349,315,284,117,112,267,549,244,461,233,352,699,235,241,31
297,273,279,113,106,273,558,241,568,257,400,659,232,225,32
221,203,280,65,62,269,517,237,472,250,251,711,232,233,32
374,325,295,141,125,288,634,240,602,222,445,744,239,241,33
310,287,277,69,66,268,466,236,494,236,435,701,259,236,33
273,240,291,106,99,274,579,229,466,237,442,727,237,249,34
261,239,280,71,67,272,546,243,422,218,310,704,231,257,36
255,225,291,85,79,275,583,232,434,240,477,685,255,241,38
413,386,274,54,49,284,579,258,505,238,354,733,224,239,40
242,223,278,73,69,270,554,235,465,248,375,698,232,244,42
281,261,275,60,56,273,570,226,392,229,264,688,238,245,43
389,362,275,90,84,274,531,230,525,240,409,695,269,243,46
248,222,285,102,95,273,569,221,509,232,431,703,236,247,46
201,178,289,71,66,274,537,239,474,213,304,682,246,239,47
547,454,309,202,179,289,467,212,632,240,457,611,233,256,49
227,207,281,82,76,278,527,239,418,219,316,699,243,249,49
319,296,276,61,57,275,510,237,440,217,321,665,247,234,50
292,267,280,64,62,266,466,225,469,224,285,676,249,232,53
396,362,280,204,174,299,415,225,589,241,440,723,234,243,53
476,338,360,120,76,400,643,262,607,227,293,771,235,253,53
195,177,282,80,72,285,574,212,512,215,338,694,236,233,53
199,179,285,67,62,274,508,235,435,217,152,696,220,241,54
272,251,278,83,78,273,547,243,529,212,361,737,245,230,55
206,190,278,52,49,275,537,229,655,228,303,686,228,244,57
269,240,287,99,89,284,570,243,599,228,442,707,253,223,59
233,211,282,83,74,285,565,217,522,262,237,704,231,239,59
409,381,275,70,64,277,582,227,580,259,399,673,244,241,59
316,284,285,101,94,274,585,236,562,232,396,703,230,232,60
245,222,282,74,71,269,528,214,503,229,414,690,242,241,61
349,322,277,51,47,280,558,235,566,220,242,659,226,258,65
306,282,278,79,75,269,545,229,556,241,333,698,225,228,66
341,320,273,83,77,274,550,241,410,250,469,702,238,249,67
307,278,282,66,61,276,600,227,465,219,203,712,247,233,69
331,301,281,96,90,273,535,235,541,226,381,698,247,240,71
371,348,273,78,74,270,569,240,573,239,339,683,237,228,73
395,369,274,40,40,257,532,228,354,239,332,654,234,240,74
268,242,283,68,64,272,533,229,462,225,353,703,256,249,74
254,233,280,76,73,267,532,256,503,223,424,683,241,253,76
277,245,289,60,55,279,546,245,548,212,217,700,217,238,79
262,238,282,67,63,271,523,244,493,223,341,671,223,231,81
244,220,284,57,54,272,543,235,389,215,307,699,230,261,84
355,330,276,54,51,275,525,240,455,245,293,703,248,253,84
344,323,273,65,60,276,549,232,466,237,268,706,238,239,86
411,383,275,65,60,276,586,241,542,238,347,748,255,249,91
270,244,284,80,76,271,571,231,486,228,366,692,227,229,91
324,299,278,52,49,272,499,237,501,236,320,676,235,248,91
299,276,277,98,90,280,588,225,580,236,468,692,249,225,92
388,359,276,105,102,265,506,221,499,238,354,694,232,237,92
193,180,275,75,67,286,495,238,693,219,288,699,228,244,93
350,332,270,85,81,270,532,241,464,233,442,695,237,235,93
328,301,279,106,99,276,559,233,496,216,465,717,230,246,93
358,337,271,64,60,272,519,241,424,224,282,704,238,246,93
235,214,281,68,62,280,529,227,328,219,238,713,241,241,95
417,380,281,69,63,278,529,245,538,225,410,702,258,240,98
284,261,279,59,56,269,506,220,418,259,303,673,247,257,98
227,207,281,76,69,280,555,247,297,215,322,705,249,251,100
470,437,276,101,93,278,571,236,578,233,496,743,247,255,104
232,212,281,74,68,279,533,215,410,216,198,704,254,239,109
341,320,273,68,65,266,526,220,553,218,265,677,233,248,113
409,380,276,70,64,281,600,240,561,227,437,729,230,237,115
388,352,282,132,117,289,672,237,628,220,468,741,243,232,115
232,212,280,85,79,276,508,236,522,230,285,704,252,258,115
285,260,281,69,66,269,518,257,493,238,306,682,248,245,116
311,289,276,109,102,274,525,225,518,252,407,686,248,229,116
285,265,275,63,58,279,517,223,519,216,290,693,238,233,121
321,292,282,70,67,269,527,239,467,226,331,701,235,253,122
272,247,282,79,75,270,569,251,583,232,362,692,234,261,126
342,320,274,46,42,274,493,253,542,260,247,723,227,239,126
321,293,281,81,77,271,486,230,534,244,387,702,245,236,128
242,222,280,83,78,275,513,238,540,208,367,745,247,224,129
242,219,284,53,50,269,528,250,321,218,252,684,228,247,132
232,214,277,79,75,271,529,233,519,221,334,679,227,221,132
183,165,285,72,66,281,525,258,488,206,337,685,225,247,134
200,181,284,102,91,289,569,227,584,237,377,712,247,249,138
244,219,285,71,68,269,561,229,513,232,285,699,237,240,138
512,444,295,112,93,308,546,233,517,235,372,688,237,243,141
256,232,282,71,67,272,506,234,498,245,362,665,231,227,142
376,344,280,53,48,278,549,222,434,254,374,700,233,261,143
402,369,278,52,50,268,528,244,574,216,384,704,236,232,145
296,272,279,87,81,274,562,219,442,262,679,696,258,223,147
378,355,273,79,73,277,587,237,550,245,369,694,251,237,148
337,312,277,75,69,279,550,257,484,238,377,704,252,243,148
382,352,278,76,70,279,572,248,480,232,463,714,265,253,149
346,323,274,98,92,270,558,231,558,259,387,686,253,232,149
215,188,293,63,58,280,476,230,497,217,240,688,231,251,159
355,334,272,47,44,273,533,225,405,236,363,657,232,240,159
363,343,271,71,66,277,474,239,457,231,438,694,240,263,161
380,353,276,47,43,278,551,225,412,219,365,682,241,225,163
343,307,286,96,93,267,538,225,463,218,357,720,219,254,164
442,406,279,67,44,394,529,228,624,254,557,691,250,241,166
209,191,280,89,78,294,607,236,571,224,392,690,237,262,167
367,347,271,72,69,268,559,236,509,242,258,707,242,249,167
432,409,270,88,83,274,528,248,521,242,394,690,238,227,171
394,362,278,71,68,270,593,226,581,223,404,719,264,240,172
249,226,282,87,81,275,567,230,302,224,279,739,245,258,173
256,231,284,89,82,278,546,251,420,229,339,716,236,238,174
222,195,291,89,84,274,581,241,557,247,343,717,221,221,176
287,267,275,50,46,279,558,216,421,222,419,710,243,235,177
338,312,278,83,80,268,544,249,507,246,343,697,238,230,179
294,271,278,73,68,275,561,237,572,227,371,697,236,243,180
307,281,280,101,97,267,569,252,490,232,447,684,255,233,180
277,253,280,63,59,273,589,208,463,222,286,680,232,234,181
271,254,274,163,147,284,645,215,431,256,462,747,246,239,183
329,304,277,51,48,271,481,240,492,225,331,688,248,249,183
331,306,276,61,58,269,478,238,502,244,260,750,234,223,185
270,248,279,69,65,273,496,242,554,232,237,659,239,229,188
305,276,283,73,67,277,561,248,474,233,362,687,251,235,189
257,230,286,96,87,284,611,240,335,195,402,761,231,266,190
337,313,275,66,63,269,515,249,456,230,255,700,225,230,190
359,328,280,76,72,271,534,216,536,228,322,702,233,236,192
293,273,275,75,70,273,526,235,571,229,401,672,236,239,195
302,275,281,82,79,265,514,235,557,229,447,698,229,241,196
335,312,275,71,68,270,511,219,435,239,385,689,250,236,197
306,275,285,77,67,295,507,219,619,240,387,681,245,254,197
324,297,279,88,83,272,508,225,487,236,409,708,246,261,199
318,286,285,71,66,273,547,232,507,224,265,716,255,265,199
271,235,295,105,96,282,622,240,573,228,356,729,281,245,202
305,280,279,58,54,273,540,226,370,231,416,678,245,239,202
367,337,279,81,77,272,521,236,469,230,425,693,246,241,203
335,306,281,74,70,272,509,233,322,240,291,686,291,246,206
307,289,272,77,71,277,569,235,493,234,278,707,249,235,207
380,348,279,86,83,265,430,235,589,240,398,663,235,218,208
319,300,272,95,87,281,615,226,467,235,304,719,277,245,209
312,288,277,98,91,277,572,228,541,232,369,685,241,257,211
196,178,282,66,61,277,550,233,524,212,382,720,226,246,214
322,293,281,78,74,269,523,251,594,235,397,655,234,243,214
345,320,276,68,63,276,515,228,512,253,431,690,245,244,215
203,184,282,89,81,282,615,237,537,237,287,677,270,231,215
433,405,274,69,66,267,490,224,585,229,317,679,259,237,218
291,260,287,81,76,273,563,238,466,244,461,698,223,255,220
252,231,279,51,47,275,472,229,401,217,242,695,249,234,221
325,295,282,81,75,277,534,235,526,237,454,690,237,248,223
353,329,275,68,64,272,519,221,585,230,390,692,249,259,223
282,256,282,75,72,268,517,239,371,249,369,697,283,241,224
284,257,283,96,89,275,561,236,447,227,302,718,230,241,225
308,282,279,60,56,273,504,244,560,227,265,688,227,236,226
296,270,280,81,75,273,549,226,511,221,322,704,222,245,227
368,329,286,108,97,284,529,246,539,250,427,723,253,236,227
424,403,269,50,46,279,556,248,557,222,320,694,239,230,228
238,213,286,87,83,270,534,237,474,219,381,659,224,239,232
243,223,279,113,105,275,560,220,555,252,706,679,252,240,233
256,235,279,111,107,266,540,231,495,235,261,676,252,238,234
357,331,276,61,59,262,537,227,523,233,410,685,242,222,235
302,274,282,83,76,279,562,252,671,245,267,712,208,225,236
250,231,277,74,69,274,597,229,538,211,433,702,219,237,242
197,178,284,78,72,276,561,235,433,216,383,711,245,245,243
399,377,271,50,48,267,498,222,459,235,307,664,244,247,245
384,349,282,70,67,266,572,239,549,239,323,699,256,249,245
361,333,278,55,52,268,508,232,434,218,359,687,237,244,247
350,322,278,109,101,276,623,231,578,222,336,691,259,233,248
320,282,290,85,81,269,565,240,600,252,435,702,235,227,249
241,215,287,93,77,309,509,241,554,204,299,702,240,242,249
379,343,283,103,89,297,588,238,610,251,409,731,266,223,251
284,261,278,60,51,300,537,234,420,223,260,718,230,246,251
231,211,280,130,112,296,585,256,581,236,308,724,229,244,254
417,386,276,99,93,273,553,224,548,233,444,700,244,233,255
322,287,287,111,98,290,514,205,616,210,466,708,232,240,255
280,246,291,101,91,285,611,233,635,225,394,662,264,241,257
