"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","Comp-APC-A :: CD19","Comp-APC-Cy7-A :: CD4","Comp-AmCyan-A :: L_D","Comp-BV711-A :: CD8","Comp-FITC-A :: CD49b","Comp-PE-A :: CD45","Comp-PE-Cy7-A :: TCRb","Comp-Pacific Blue-A :: NKp46","Time"
271,245,283,93,87,273,542,237,468,247,465,698,242,233,1
344,311,283,123,117,271,577,229,514,248,387,715,216,250,2
345,294,300,121,108,286,549,254,523,225,106,766,300,249,6
475,432,282,83,78,272,580,233,562,235,373,676,234,253,6
519,414,321,182,158,294,503,241,576,234,436,787,238,236,7
230,213,277,105,96,281,622,239,491,225,385,731,233,239,8
378,359,270,89,85,269,522,233,478,236,281,717,243,240,15
273,251,279,51,47,273,506,243,390,213,212,683,228,250,17
223,200,285,126,117,277,538,233,493,253,376,672,245,241,20
252,226,285,86,79,277,540,232,564,228,301,661,243,236,21
486,416,299,138,122,289,430,237,597,241,398,609,239,238,21
289,267,277,48,46,271,435,253,718,218,362,698,227,241,23
332,307,277,100,94,273,509,234,396,226,353,672,217,236,24
252,232,278,75,67,286,559,244,522,235,314,671,230,249,28
346,284,312,188,170,283,540,245,642,265,413,660,264,261,29
280,233,308,140,124,290,531,221,549,250,365,741,256,232,33
413,374,282,126,112,287,582,226,500,225,268,715,239,239,33
242,208,298,72,66,281,422,235,643,224,273,619,267,247,34
319,298,274,84,78,277,526,225,512,224,381,650,224,238,35
247,226,280,155,133,297,623,256,607,209,181,778,246,242,36
359,331,278,62,58,273,487,232,549,220,369,616,235,233,36
245,222,283,68,61,282,620,218,464,217,231,672,236,235,43
699,612,292,197,168,300,461,227,630,252,452,759,245,252,44
711,615,296,117,104,286,542,234,558,244,387,750,254,237,45
316,289,280,74,69,272,547,222,463,224,288,679,236,232,47
443,416,273,55,53,264,540,228,395,251,260,632,245,235,50
309,274,289,98,89,281,573,236,582,223,129,671,223,227,51
566,501,289,163,147,284,625,250,572,253,493,721,230,230,52
437,393,285,175,158,284,470,231,520,233,462,719,264,261,52
255,229,285,116,105,281,560,248,543,230,364,696,234,244,54
266,224,304,149,133,288,565,243,575,213,447,725,222,240,55
562,483,298,160,143,286,580,248,528,243,466,768,251,244,58
342,302,289,71,66,279,600,215,597,230,206,644,228,228,59
319,289,283,68,65,269,539,252,494,242,313,655,224,243,60
278,258,276,79,73,276,538,222,556,207,313,703,242,223,63
229,202,290,91,84,276,595,233,552,226,352,722,234,224,65
236,213,284,83,78,273,540,246,532,240,354,676,231,241,67
327,303,276,46,43,278,505,236,638,218,284,681,221,250,68
323,290,285,84,78,274,535,217,542,232,311,701,262,232,71
296,276,274,109,101,276,582,218,424,234,426,689,245,253,72
273,248,282,105,100,269,553,233,459,242,363,676,252,232,72
213,192,284,79,72,282,494,234,500,211,254,702,252,245,79
331,304,278,75,70,275,493,230,418,233,439,680,226,235,80
258,233,284,78,72,276,563,233,551,210,298,672,228,231,82
351,327,274,83,77,277,489,241,512,221,336,676,236,240,89
286,242,303,122,109,286,582,222,641,228,462,768,259,225,90
372,329,289,130,115,288,525,230,475,237,310,692,233,239,91
813,674,309,237,192,316,506,245,607,239,559,691,245,268,92
211,193,281,124,114,277,575,235,502,222,436,695,248,243,93
267,245,279,94,89,271,501,256,553,275,364,655,232,229,102
304,272,286,104,99,269,551,215,566,226,366,672,246,232,104
242,219,283,88,82,275,588,228,404,221,214,696,259,260,111
603,559,276,72,68,269,523,223,577,248,380,687,229,219,114
268,240,285,100,93,273,582,230,570,233,389,699,244,238,118
255,234,279,92,88,269,550,211,555,231,281,652,239,231,118
517,432,307,163,141,295,534,241,621,224,345,703,222,240,122
264,241,280,55,52,273,498,214,379,238,301,658,221,241,122
242,219,284,67,64,269,550,222,472,267,292,694,254,237,122
321,290,283,124,116,273,549,229,532,241,417,669,245,251,122
838,738,291,247,218,290,481,230,599,229,402,590,250,246,127
299,277,277,60,56,271,443,233,678,247,404,635,237,229,127
281,260,277,54,50,278,433,244,509,204,250,671,238,240,128
195,166,301,77,73,271,555,222,403,222,433,656,241,230,129
273,249,280,38,36,269,497,239,530,234,272,654,238,229,131
290,269,276,71,67,270,519,225,488,232,344,662,259,239,135
329,305,276,43,41,270,502,227,459,239,181,640,233,246,142
351,326,276,98,92,272,494,219,511,235,399,672,259,237,143
269,243,283,55,52,272,564,248,456,240,225,704,247,237,150
221,194,292,110,98,288,627,224,562,242,458,717,254,253,150
371,343,276,75,71,271,540,242,465,217,648,638,229,232,152
294,270,278,90,80,288,562,221,538,256,218,673,238,244,157
212,194,279,62,58,277,524,241,338,241,237,690,233,241,159
278,252,282,66,63,271,555,217,590,244,302,638,247,228,162
199,161,316,135,121,286,581,212,461,226,419,694,237,262,162
192,176,278,85,79,276,565,238,413,207,324,676,232,233,166
361,332,278,64,60,273,540,243,470,236,250,662,256,238,167
293,268,280,70,66,272,549,223,370,229,238,664,229,258,170
