"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","Comp-APC-A :: CD19","Comp-APC-Cy7-A :: CD4","Comp-AmCyan-A :: L_D","Comp-BV711-A :: CD8","Comp-FITC-A :: CD49b","Comp-PE-A :: CD45","Comp-PE-Cy7-A :: TCRb","Comp-Pacific Blue-A :: NKp46","Time"
256,240,274,68,62,278,477,240,544,224,356,705,229,228,3
577,538,274,109,101,275,573,223,512,247,389,691,254,257,6
338,312,277,61,58,272,527,232,497,243,294,667,230,239,11
249,226,282,67,64,270,561,234,488,231,271,694,234,228,14
315,288,280,48,46,270,515,238,472,247,235,692,234,230,27
388,358,277,77,75,265,568,229,481,233,204,681,234,233,29
296,257,295,112,101,285,665,220,628,219,347,654,247,241,29
375,347,276,54,51,268,530,224,523,236,323,680,267,224,33
379,338,287,165,140,303,625,242,602,224,482,748,246,264,35
458,425,276,84,77,280,554,225,604,263,363,680,257,249,39
317,286,284,68,64,270,544,224,481,230,353,671,240,233,47
256,232,283,136,117,298,615,259,582,244,369,672,239,234,49
306,284,276,46,43,271,525,243,415,220,279,674,242,252,49
429,406,271,79,74,275,553,227,481,232,420,697,232,239,49
222,200,284,68,64,272,565,243,510,225,330,714,237,223,50
328,298,281,98,93,271,589,246,524,211,305,695,242,249,52
459,419,280,60,57,267,567,238,558,238,364,715,265,242,57
234,213,282,65,60,275,490,237,456,242,277,715,232,241,63
243,225,276,62,58,272,555,232,546,231,202,702,253,229,66
356,330,276,78,74,270,490,240,426,226,263,702,232,239,68
460,424,278,51,47,273,549,224,491,239,388,674,250,236,68
351,332,271,105,98,272,576,242,524,250,450,661,245,235,70
370,339,279,55,51,274,552,238,519,231,389,681,232,235,72
349,324,276,66,55,309,550,229,384,235,290,684,243,228,72
555,494,288,160,143,286,441,215,650,257,389,625,240,244,73
379,348,279,82,78,270,525,246,416,240,337,681,254,242,73
283,254,285,66,63,270,477,255,519,249,367,628,235,245,76
255,231,282,30,28,274,415,229,628,212,343,697,239,238,77
347,322,276,56,52,273,519,227,511,221,288,678,240,232,78
304,282,275,108,98,283,559,235,604,231,299,692,220,244,80
313,282,285,66,61,276,532,235,526,232,412,698,250,233,83
390,361,276,67,63,269,494,234,498,226,328,647,229,230,84
373,346,276,68,65,266,459,227,678,229,371,649,240,253,87
424,390,278,81,76,272,518,244,564,234,314,681,241,241,92
203,184,281,85,77,283,561,247,426,230,132,718,225,238,92
413,377,281,72,69,269,540,248,368,230,337,651,236,242,99
359,331,278,63,60,267,498,245,508,233,258,641,234,247,100
263,242,279,65,61,271,525,218,328,242,245,695,250,241,102
