"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","Comp-APC-A :: CD19","Comp-APC-Cy7-A :: CD4","Comp-AmCyan-A :: L_D","Comp-BV711-A :: CD8","Comp-FITC-A :: CD49b","Comp-PE-A :: CD45","Comp-PE-Cy7-A :: TCRb","Comp-Pacific Blue-A :: NKp46","Time"
314,293,274,60,55,280,563,248,440,211,232,728,228,247,3
278,257,277,69,69,258,527,236,474,221,205,653,238,246,3
682,586,298,179,159,289,467,221,747,463,582,706,309,303,7
419,393,273,82,78,270,509,210,532,237,455,702,251,234,7
288,274,269,66,63,271,491,239,345,226,324,684,221,239,13
251,228,282,84,80,268,570,214,573,215,421,679,256,248,33
382,354,276,88,83,273,507,204,521,235,377,692,240,247,37
300,266,289,106,99,275,530,239,494,255,365,705,241,242,66
372,346,275,90,83,277,582,246,556,225,475,735,243,234,70
272,248,281,57,54,271,526,272,457,222,310,698,217,228,80
294,276,273,43,40,271,420,225,602,251,378,622,239,213,90
305,281,278,74,70,270,602,217,526,248,374,648,243,244,97
354,336,270,125,119,270,604,256,476,228,366,726,225,250,101
667,548,312,126,110,293,547,236,561,210,263,754,221,246,105
226,206,281,80,75,272,534,226,502,259,351,697,240,233,114
538,476,289,362,292,317,499,249,646,249,504,611,227,253,143
387,364,273,60,58,267,544,238,413,228,442,661,242,247,148
591,507,298,157,143,281,427,227,570,251,433,632,257,252,148
351,322,279,102,95,276,563,230,543,241,353,662,235,233,162
259,184,360,225,189,305,435,318,727,439,574,748,341,304,182
400,373,274,50,48,268,540,219,550,254,383,690,255,225,193
240,216,285,91,86,271,552,246,474,215,383,689,229,237,199
230,208,283,94,89,271,542,239,543,226,268,701,235,236,206
260,225,296,136,118,294,591,228,516,256,386,654,234,231,208
367,337,279,66,61,274,493,228,542,227,385,697,240,239,221
286,228,321,154,90,440,555,225,741,197,384,710,261,265,222
401,372,276,73,69,270,499,212,532,234,296,691,253,248,224
210,181,296,93,85,282,569,244,451,215,360,696,245,244,225
250,220,290,73,68,275,583,231,567,229,303,714,239,233,237
480,440,279,70,66,273,519,216,505,230,451,692,228,256,245
295,274,276,95,89,274,432,229,493,225,476,686,252,243,252
363,335,278,61,35,440,515,253,664,241,211,665,246,243,253
456,426,274,73,71,262,526,237,446,220,423,693,252,229,260
334,309,276,99,90,281,510,224,475,236,384,674,238,249,270
349,318,282,83,79,269,514,224,521,229,440,706,245,248,270
394,337,300,191,169,289,547,234,626,236,511,750,217,246,273
379,348,279,80,77,265,500,230,692,231,384,651,246,231,283
305,276,283,53,50,272,551,246,531,220,163,693,234,233,298
392,330,304,127,80,405,523,225,731,230,373,723,245,243,299
397,366,278,45,42,273,530,225,607,217,352,682,225,218,311
662,554,306,188,166,291,433,232,633,234,465,748,238,255,340
395,358,283,85,81,269,540,239,552,231,368,708,231,247,350
248,220,289,57,52,281,526,244,531,216,181,709,236,242,355
327,298,281,58,56,265,515,233,436,242,233,643,227,231,361
337,305,283,59,58,259,472,232,454,230,442,670,243,253,362
383,359,273,80,74,276,479,241,550,229,408,705,242,245,363
489,426,294,119,66,459,600,235,620,246,447,670,243,258,364
300,273,281,89,84,270,587,210,504,228,423,698,258,249,375
343,325,270,88,81,277,608,236,540,265,441,716,234,233,382
302,266,291,105,95,283,523,246,483,217,387,694,249,259,382
253,229,283,80,74,276,530,214,417,216,284,711,232,244,392
291,265,282,79,75,270,604,227,487,225,334,698,247,234,413
288,261,282,78,75,265,557,240,467,244,267,708,235,227,431
429,384,287,125,88,363,527,241,619,224,545,745,272,244,452
274,249,281,76,73,270,506,251,548,266,385,685,233,249,456
243,209,297,80,74,279,545,216,517,242,379,679,241,235,459
362,334,278,83,82,260,503,234,533,238,458,697,231,247,464
327,295,284,53,47,284,548,236,561,230,234,676,245,221,469
232,207,286,127,117,277,553,219,480,228,379,656,257,258,477
397,362,281,94,89,270,533,243,551,250,455,688,243,253,486
464,406,293,157,148,271,528,249,587,250,223,692,227,228,496
213,193,283,83,78,273,530,236,482,238,278,683,228,240,510
278,255,280,68,64,274,468,240,465,245,326,663,229,231,510
429,391,281,75,71,269,643,215,604,241,392,695,230,223,514
326,307,272,73,67,278,498,262,570,215,305,683,236,236,514
433,322,345,359,268,343,654,209,701,241,559,797,248,260,516
427,379,288,180,164,281,417,233,572,230,397,660,235,229,520
250,227,282,77,69,287,521,207,512,234,239,686,241,232,522
373,347,275,85,82,265,555,255,591,225,427,705,224,236,532
524,451,297,84,75,287,518,224,436,225,306,690,230,247,542
286,264,277,56,51,280,504,247,536,245,309,691,239,228,546
448,415,276,60,60,258,475,230,536,234,303,697,257,226,549
262,238,282,67,64,268,522,239,528,250,491,732,236,236,572
590,532,284,126,112,287,605,229,661,241,520,687,256,253,580
312,287,278,87,79,283,522,237,743,214,289,697,282,248,607
370,344,276,63,58,278,579,253,523,218,332,673,209,244,612
404,367,282,82,77,272,541,229,423,228,413,653,230,256,614
255,208,313,164,148,284,574,227,480,246,376,644,238,258,617
333,311,274,63,61,265,488,235,524,221,287,640,237,228,635
323,288,287,75,70,273,511,238,375,253,380,685,237,244,640
465,427,279,77,72,273,527,238,500,238,381,669,248,230,647
376,358,268,72,66,279,486,225,606,220,461,713,245,228,648
337,309,280,93,85,280,579,239,368,241,437,710,240,242,648
207,190,279,63,57,286,579,217,498,212,276,663,250,252,655
331,305,278,70,66,274,564,244,478,221,348,722,231,240,661
376,350,275,96,86,286,561,240,556,214,435,684,234,242,669
268,243,282,81,75,277,423,223,511,233,383,685,234,241,680
282,260,278,80,76,271,551,215,469,254,404,680,246,237,681
451,348,331,324,265,312,446,219,641,241,478,677,249,249,683
353,323,280,71,68,267,510,239,398,225,637,690,232,234,685
741,626,303,205,182,289,438,232,577,244,464,684,274,251,689
383,352,278,80,77,267,478,221,386,250,463,686,251,256,691
343,319,275,59,57,266,544,244,345,224,253,675,243,253,704
367,332,283,91,87,268,500,239,597,225,424,696,222,243,706
367,327,288,84,79,272,489,238,583,239,415,715,234,233,721
313,278,289,147,132,284,598,219,593,228,337,751,261,239,725
383,356,276,103,94,282,536,223,462,259,354,689,247,232,730
199,181,282,37,34,280,491,222,463,227,279,669,235,238,731
255,231,282,93,86,277,566,225,409,253,424,708,232,249,751
344,316,279,117,109,274,526,214,572,260,364,701,238,219,754
339,316,275,46,44,273,470,237,399,212,220,713,231,239,778
290,275,270,110,102,278,540,227,540,235,387,705,243,247,779
318,282,289,108,101,274,512,229,413,231,401,680,243,251,784
273,248,282,77,73,270,541,230,532,253,413,703,238,237,795
278,253,281,79,74,272,552,224,382,226,315,687,271,252,796
406,376,276,60,58,263,528,228,496,251,234,690,277,233,805
328,308,273,43,40,274,524,218,335,219,152,713,238,227,808
309,285,278,55,52,269,449,221,507,224,189,675,248,241,814
490,455,276,90,84,275,610,257,541,238,373,676,253,247,824
174,156,285,89,81,282,571,231,362,231,230,727,235,249,827
365,325,288,125,115,279,418,230,516,214,388,704,230,244,829
243,222,280,87,75,295,552,236,542,227,385,674,230,237,830
216,198,279,59,56,273,422,233,360,222,177,726,228,230,848
432,409,270,42,41,267,451,231,403,233,403,652,233,230,858
243,219,285,97,91,272,544,244,538,232,270,691,252,253,860
760,636,306,342,289,302,422,244,657,230,500,747,255,251,866
273,250,280,58,55,269,526,236,443,233,344,670,223,227,872
225,197,293,134,119,287,518,228,709,217,320,704,242,244,876
294,274,275,55,51,277,489,252,417,230,282,690,231,246,877
443,409,277,77,74,268,466,228,569,223,449,686,237,252,880
324,305,271,104,96,278,555,232,503,258,275,705,251,231,916
435,381,292,204,178,294,416,296,729,407,556,727,299,282,924
447,412,278,56,53,268,530,230,426,230,382,645,250,258,941
316,282,286,92,87,269,511,239,486,257,358,674,237,244,944
506,423,306,282,238,304,482,329,742,513,587,698,329,301,957
193,174,283,58,54,277,546,224,589,235,359,704,260,238,966
463,430,276,91,85,274,488,233,461,219,452,700,238,238,974
291,269,277,58,52,285,579,241,518,224,214,680,336,248,978
406,371,280,105,100,270,562,215,569,238,378,712,239,219,1022
272,238,293,80,74,279,574,252,514,244,420,714,242,241,1023
506,460,282,85,81,270,425,228,513,231,452,684,225,259,1023
345,299,296,86,79,279,528,231,520,218,396,688,235,240,1023
548,454,309,265,235,289,489,228,607,247,483,734,252,250,1023
308,286,276,57,54,272,541,225,583,228,335,701,240,239,1023
402,373,276,69,66,268,484,232,555,242,281,678,232,228,1023
296,273,278,107,100,274,598,234,558,237,359,710,258,240,1023
254,231,281,84,76,281,454,237,589,246,355,702,230,226,1023
