"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","Comp-APC-A :: CD11c","Comp-APC-Cy7-A :: CD452","Comp-AmCyan-A :: L_D","Comp-BV711-A :: MHCII","Comp-PE-A :: CD11b","Comp-PE-Cy7-A :: Ly6G","Comp-Pacific Blue-A :: Ly6C","Time"
299,249,307,272,232,299,378,635,696,276,919,698,655,6
355,312,291,154,139,285,274,593,591,318,910,721,644,7
287,258,284,144,126,292,335,658,645,350,979,815,730,25
305,255,306,180,160,289,282,627,532,306,934,772,671,27
269,227,304,156,135,296,404,625,684,395,971,760,748,29
118,104,291,74,65,292,273,589,543,295,915,727,640,32
310,273,290,100,92,279,275,636,549,298,949,772,639,36
183,162,288,188,163,295,305,608,526,289,928,766,606,68
173,127,349,253,192,337,278,647,644,354,917,741,730,132
306,258,304,204,178,293,394,638,690,346,926,710,730,196
362,318,292,167,150,285,258,614,692,323,948,781,696,310
170,149,294,226,195,297,318,658,639,312,930,796,695,350
268,243,282,185,167,283,331,626,633,293,936,728,667,387
181,162,286,208,179,297,516,635,670,332,887,681,654,419
254,227,286,151,136,285,466,678,718,385,968,792,781,428
374,320,299,236,208,291,379,619,683,323,932,748,678,464
371,298,319,170,152,285,459,628,707,361,943,748,701,539
190,167,291,272,239,292,469,630,700,312,922,765,691,542
142,109,335,191,154,318,347,642,664,318,927,822,725,588
416,356,299,258,231,286,278,642,685,339,923,731,688,654
217,192,289,205,182,290,306,643,639,393,922,746,678,667
332,279,305,171,148,295,367,644,647,336,930,802,728,689
138,121,292,169,142,304,329,651,569,286,932,771,659,701
298,266,287,114,104,281,293,621,636,317,953,777,661,709
331,281,301,178,153,297,309,664,520,256,937,748,622,738
345,303,292,162,142,293,300,640,657,308,952,759,673,738
162,133,312,213,176,309,340,679,713,365,951,796,693,745
256,224,293,210,189,285,223,604,674,313,942,757,680,765
130,117,286,153,136,287,437,639,683,272,909,791,665,768
304,277,281,190,169,289,341,665,691,350,951,810,704,846
312,276,289,140,126,283,262,609,622,327,874,791,686,897
371,328,290,159,143,286,347,648,694,306,971,750,658,911
250,210,306,129,115,287,396,655,706,361,956,773,745,961
274,248,283,251,214,300,513,671,708,350,952,799,685,978
376,318,302,191,159,307,371,631,616,300,925,738,646,988
336,257,335,258,213,311,407,652,704,276,918,730,626,989
354,312,291,257,225,293,412,657,693,299,965,753,688,1013
245,225,279,147,129,292,290,646,688,301,951,810,685,1022
