"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","Comp-APC-A :: CD19","Comp-APC-Cy7-A :: CD4","Comp-AmCyan-A :: L_D","Comp-BV711-A :: CD8","Comp-FITC-A :: CD49b","Comp-PE-A :: CD45","Comp-PE-Cy7-A :: TCRb","Comp-Pacific Blue-A :: NKp46","Time"
390,353,283,73,66,281,257,282,507,663,409,702,554,248,2
404,358,289,109,102,276,243,218,571,473,509,746,700,261,3
196,149,337,115,100,295,255,174,636,668,486,723,577,282,3
233,201,297,106,94,288,242,198,540,647,391,723,669,272,5
395,361,281,63,56,285,258,227,553,410,350,628,460,246,5
373,339,282,97,90,277,254,222,558,433,416,661,554,236,7
366,313,299,128,113,289,243,217,596,368,476,723,529,250,7
354,318,285,131,115,292,244,239,446,458,354,748,532,251,7
555,503,282,101,93,276,250,197,560,633,426,730,627,262,8
454,417,279,59,56,271,233,191,590,587,195,715,657,248,10
323,286,290,60,58,268,253,225,507,526,360,716,412,261,12
488,448,279,86,82,269,239,213,545,555,401,663,582,250,12
436,367,304,151,134,288,243,199,669,665,536,740,650,261,13
302,271,285,86,81,273,226,232,429,427,258,715,539,239,13
333,297,287,82,79,266,242,202,574,631,303,653,616,268,14
309,270,293,116,107,276,257,215,552,511,369,661,506,248,14
304,273,285,91,87,268,226,222,531,627,465,718,636,248,14
226,190,305,59,55,273,234,241,551,510,366,647,502,244,16
332,293,290,86,80,278,258,240,560,489,223,684,664,243,17
226,199,292,96,88,278,255,228,504,483,383,668,503,226,17
401,367,280,78,76,265,224,249,572,400,351,732,625,257,18
399,361,283,76,70,279,237,213,624,593,445,686,465,254,18
511,469,279,92,83,283,235,210,592,472,402,705,525,238,19
225,191,302,70,64,281,255,251,587,522,185,721,415,266,19
456,421,277,81,77,268,252,215,608,508,399,667,552,247,19
351,304,295,85,79,277,242,199,389,603,419,771,615,265,20
426,383,285,87,81,275,255,220,585,615,340,723,639,283,21
477,435,281,151,125,310,258,202,606,629,443,730,611,274,21
297,264,287,61,59,268,247,262,503,625,402,714,619,235,22
384,352,279,54,51,270,240,239,529,565,449,724,567,242,23
477,443,276,88,86,263,251,204,544,656,475,666,639,262,23
313,271,295,78,73,274,258,237,482,451,319,710,368,266,23
375,337,285,68,63,277,233,225,453,720,336,715,604,274,23
425,387,282,91,86,271,255,195,537,498,414,667,563,244,25
433,400,277,70,65,275,236,264,493,595,425,711,641,253,29
267,240,284,101,90,286,271,229,559,724,438,731,510,270,29
283,250,289,88,81,277,227,241,342,523,364,707,627,239,29
361,310,298,120,109,281,235,234,624,648,477,744,665,246,32
458,416,282,102,94,278,270,218,565,558,373,751,491,249,32
375,338,284,110,103,275,259,217,532,538,347,706,650,257,36
366,327,286,103,94,281,257,224,692,572,423,746,643,248,36
442,404,280,84,81,266,234,230,569,515,433,684,641,241,37
296,258,294,66,64,267,258,314,513,682,303,677,466,266,38
234,174,343,144,124,297,261,207,593,518,484,750,640,260,38
288,245,300,83,79,270,246,235,578,497,338,633,662,240,39
396,364,279,75,71,270,222,184,447,712,365,685,611,277,39
496,461,276,110,103,272,227,215,525,506,434,761,663,254,40
445,399,286,87,83,270,244,222,425,530,502,706,517,248,43
143,119,307,71,64,284,250,228,518,468,366,688,618,247,43
393,355,283,103,97,272,236,248,570,441,241,631,445,226,45
274,250,281,81,75,277,219,216,631,500,395,740,503,225,45
185,160,296,59,50,299,252,219,556,516,494,711,595,257,47
337,286,302,104,95,280,235,239,696,658,357,673,562,254,47
208,182,293,62,56,282,251,226,420,495,330,686,509,245,51
629,590,273,114,109,268,242,229,626,634,402,695,618,267,54
328,292,287,79,70,286,250,212,585,611,490,724,551,234,54
267,237,289,80,74,275,251,226,369,552,400,703,561,225,55
350,323,277,121,111,280,272,235,547,374,295,688,375,244,55
429,395,278,79,74,271,244,211,526,463,402,696,564,251,57
432,383,289,109,101,277,233,246,574,605,428,756,691,253,57
