"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","Comp-APC-A :: CD19","Comp-APC-Cy7-A :: CD4","Comp-AmCyan-A :: L_D","Comp-BV711-A :: CD8","Comp-FITC-A :: CD49b","Comp-PE-A :: CD45","Comp-PE-Cy7-A :: TCRb","Comp-Pacific Blue-A :: NKp46","Time"
486,429,290,140,127,281,287,250,623,716,437,706,651,298,1
242,210,295,76,69,279,240,251,530,680,436,749,533,275,2
234,203,295,99,90,283,252,238,476,490,309,789,622,242,3
356,320,285,107,98,279,227,338,589,512,404,674,639,272,3
262,220,305,89,84,271,245,260,537,672,495,788,711,278,4
357,302,303,107,99,278,258,198,496,403,469,752,656,234,4
361,332,279,90,82,281,242,188,680,619,573,762,649,304,5
375,345,278,46,43,272,255,285,480,695,327,687,615,239,9
307,266,295,47,43,280,237,240,434,527,367,779,646,259,9
326,298,279,85,79,274,256,201,588,591,447,680,649,239,10
274,247,284,40,38,269,246,231,570,510,209,748,635,232,13
258,223,296,119,102,300,259,249,406,377,165,821,430,237,14
269,239,288,100,92,279,224,189,603,752,507,803,537,306,15
265,245,278,73,67,276,252,299,536,628,270,767,617,244,16
336,298,289,69,65,272,243,254,538,443,459,745,570,243,17
747,707,270,105,98,273,277,177,584,677,521,747,654,303,18
299,262,292,70,66,272,254,271,598,599,212,760,539,248,20
452,417,278,99,93,275,285,242,514,689,424,710,617,307,21
487,444,281,80,73,280,269,246,519,537,387,662,500,243,21
399,359,285,93,84,285,226,193,536,684,446,773,629,284,22
220,184,306,56,52,275,246,276,508,540,354,697,574,239,23
417,385,278,112,103,278,247,241,582,470,359,802,661,240,24
362,327,284,63,60,271,253,281,550,671,457,746,600,256,24
372,345,276,92,82,285,244,257,548,678,329,734,683,269,30
448,413,277,95,88,277,260,256,597,608,494,719,645,269,30
384,338,290,219,199,282,242,235,580,675,398,694,665,262,31
396,356,285,71,66,276,253,191,632,719,382,722,655,281,31
306,271,288,79,70,290,282,225,594,516,289,705,636,246,35
343,316,278,64,60,275,238,229,566,376,437,709,683,248,35
543,500,278,81,73,286,261,195,570,589,458,742,568,263,36
381,340,287,83,78,271,265,295,505,653,217,814,672,255,37
441,401,282,66,62,275,249,222,474,596,383,713,656,249,38
289,250,296,72,67,275,246,215,539,529,411,685,647,245,39
424,382,284,91,86,272,252,200,479,640,498,723,662,270,41
373,330,289,117,97,310,246,213,639,690,487,700,512,249,41
292,267,279,78,72,280,286,234,478,604,381,783,620,247,43
255,236,276,56,53,271,237,248,497,657,347,741,665,264,45
296,255,297,93,85,283,258,224,503,603,422,699,496,232,46
242,216,286,62,55,285,241,288,321,554,361,744,650,244,47
588,534,282,129,118,279,238,293,599,708,480,801,578,278,47
289,264,280,70,63,283,253,189,606,642,468,740,665,246,49
393,357,282,69,65,271,249,215,486,419,471,781,610,234,49
477,451,271,80,73,278,251,203,446,599,445,704,606,250,52
252,223,289,70,65,274,246,206,551,408,509,748,630,241,52
361,333,277,70,63,282,250,214,512,559,312,709,582,241,53
271,239,290,71,66,278,254,230,521,541,334,720,437,238,59
264,225,300,78,71,282,271,255,555,531,276,687,609,242,60
245,215,292,63,57,279,252,285,358,610,402,776,626,240,61
293,263,285,83,78,274,241,213,556,639,455,713,482,275,61
