"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","Comp-APC-A :: CD19","Comp-APC-Cy7-A :: CD4","Comp-AmCyan-A :: L_D","Comp-BV711-A :: CD8","Comp-FITC-A :: CD49b","Comp-PE-A :: CD45","Comp-PE-Cy7-A :: TCRb","Comp-Pacific Blue-A :: NKp46","Time"
238,210,290,83,76,281,256,316,341,512,252,683,595,252,1
351,329,273,56,54,267,240,268,414,554,244,668,447,219,3
335,309,278,77,72,272,246,202,592,593,438,671,619,261,6
230,195,303,88,78,290,230,241,632,398,490,647,552,252,10
408,385,271,69,66,267,247,184,608,631,326,715,542,261,12
431,408,271,56,52,273,257,227,363,402,351,729,562,255,12
341,305,286,77,69,283,259,255,592,512,405,702,602,243,13
259,233,285,58,54,275,265,269,480,502,341,718,589,242,13
195,170,294,72,66,280,255,256,478,538,239,714,569,245,14
392,364,276,73,69,274,242,247,504,648,328,749,639,249,14
229,180,327,80,70,292,233,257,571,619,196,749,620,251,15
368,323,291,115,108,272,250,272,657,588,367,770,653,254,18
540,504,274,62,60,265,230,203,565,621,524,731,572,266,19
298,262,291,85,76,285,261,296,568,678,279,692,459,236,21
435,401,277,74,71,264,256,214,540,482,469,730,679,245,26
360,327,282,132,124,273,251,233,552,368,426,758,678,246,26
452,411,281,113,107,270,247,240,592,611,461,688,497,237,27
310,272,292,96,90,273,239,216,601,522,460,652,410,252,27
309,273,290,110,102,277,244,218,569,495,370,688,637,236,31
323,278,297,99,77,328,251,270,619,595,323,743,671,249,31
378,343,283,119,108,281,268,199,521,528,434,783,650,254,32
312,264,302,118,109,279,235,226,633,426,411,676,570,249,34
264,251,269,136,125,278,265,310,532,640,411,706,669,246,34
243,215,289,101,92,280,278,249,537,556,399,672,520,263,36
371,326,291,90,86,269,248,233,560,575,469,753,548,276,36
261,171,392,179,95,483,278,237,629,389,324,690,517,259,40
495,449,282,156,145,277,281,172,634,692,549,765,673,273,40
359,330,278,80,76,272,241,243,517,393,306,749,528,230,43
