"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","Comp-APC-A :: CD11c","Comp-APC-Cy7-A :: CD452","Comp-AmCyan-A :: L_D","Comp-BV711-A :: MHCII","Comp-PE-A :: CD11b","Comp-PE-Cy7-A :: Ly6G","Comp-Pacific Blue-A :: Ly6C","Time"
225,186,309,141,117,310,701,760,672,859,628,230,254,15
257,222,297,97,86,291,673,760,614,798,614,190,265,20
260,221,302,94,80,299,588,735,663,803,899,313,243,62
274,219,320,132,109,311,624,674,654,799,774,257,285,72
170,150,290,98,82,306,666,723,625,887,636,207,212,74
322,279,295,112,98,293,588,669,540,861,626,280,256,78
164,136,308,96,80,307,654,804,581,841,605,269,255,86
188,164,292,51,48,271,610,616,405,768,626,258,262,93
227,191,304,124,101,313,685,708,659,816,648,240,243,105
394,350,289,130,110,303,583,773,710,929,875,305,308,110
434,387,287,104,91,291,545,768,704,964,913,340,329,110
274,226,310,76,64,307,568,713,630,911,806,185,206,117
374,320,299,82,72,292,712,759,683,934,696,141,283,118
314,271,297,108,92,301,671,717,675,855,559,273,269,121
350,312,288,117,101,295,654,695,587,829,482,233,283,122
386,332,298,96,84,293,703,743,632,763,589,231,258,128
357,307,298,125,112,286,571,759,714,880,897,335,272,133
191,161,303,116,96,310,721,719,592,767,476,184,246,134
266,237,286,58,52,284,637,727,581,815,788,253,248,136
287,239,308,89,75,303,589,791,658,986,872,163,221,153
214,169,324,206,164,323,753,758,688,937,515,279,295,154
373,334,286,133,111,307,775,768,673,797,602,254,238,161
333,292,292,60,52,294,617,724,649,827,824,260,238,174
269,228,302,141,115,313,733,712,634,785,710,267,261,177
286,255,287,92,78,303,728,765,603,855,614,246,218,185
508,426,305,196,169,297,660,735,687,894,664,362,245,189
311,245,324,80,65,317,645,718,695,905,773,289,234,193
437,359,311,148,111,341,725,747,688,933,617,276,205,194
370,301,314,126,105,307,691,702,656,809,630,296,285,197
397,352,289,164,131,321,725,783,676,817,528,252,265,197
431,376,293,100,86,297,623,732,619,810,842,298,254,200
303,256,304,98,87,291,590,732,678,911,845,297,351,209
282,221,327,115,90,327,757,747,659,783,497,174,288,226
