"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","Comp-APC-A :: CD11c","Comp-APC-Cy7-A :: CD452","Comp-AmCyan-A :: L_D","Comp-BV711-A :: MHCII","Comp-PE-A :: CD11b","Comp-PE-Cy7-A :: Ly6G","Comp-Pacific Blue-A :: Ly6C","Time"
198,156,325,91,75,310,690,717,506,875,591,255,237,11
222,193,295,94,80,300,615,634,643,846,794,325,214,22
272,216,322,112,97,294,621,685,662,856,795,285,243,28
187,144,332,67,56,305,658,729,548,844,832,198,222,28
462,389,304,134,116,295,634,724,721,927,820,338,338,32
132,107,318,177,151,300,564,667,693,869,693,278,243,33
253,184,351,212,163,333,698,779,693,882,826,386,245,34
161,117,350,211,176,308,579,726,709,893,804,315,231,38
273,229,306,112,87,329,715,782,583,793,537,165,233,40
241,195,316,67,58,294,675,736,566,828,815,190,215,51
282,245,295,104,93,288,612,639,697,934,658,303,275,57
253,211,308,103,87,305,573,782,616,892,846,134,264,58
382,328,298,111,92,307,703,727,705,860,860,301,246,63
302,256,302,149,130,294,641,721,709,926,894,340,259,66
351,299,301,102,90,290,645,731,682,908,704,310,240,66
250,212,303,142,125,291,626,733,718,902,802,359,290,73
312,268,298,105,82,330,635,702,668,832,757,280,249,74
236,194,311,121,102,302,575,657,625,769,290,229,227,76
233,193,309,110,91,307,692,718,588,741,667,161,225,79
166,143,296,169,148,292,585,675,721,924,716,410,252,80
339,293,296,171,132,332,802,762,684,779,407,316,261,81
372,294,324,147,126,298,661,615,623,787,611,279,265,83
191,174,281,148,122,309,689,761,613,847,782,171,217,91
179,148,310,171,138,317,745,774,648,812,446,223,264,96
408,352,297,124,107,296,675,749,712,886,863,340,249,97
297,244,312,126,99,327,721,690,657,780,631,168,237,106
307,248,316,125,104,308,735,778,605,780,454,239,258,109
333,283,301,161,131,313,710,726,646,815,711,200,191,114
348,296,301,115,102,288,688,649,644,802,446,244,229,117
274,214,328,155,116,341,761,756,639,731,395,271,249,122
500,419,306,98,90,279,553,684,667,754,698,304,296,130
207,187,284,110,92,306,707,751,598,775,438,216,239,138
215,171,322,186,141,337,670,724,609,731,515,238,249,154
153,128,305,172,145,303,582,741,633,802,877,316,295,164
209,185,290,88,80,285,583,666,598,831,778,254,346,168
340,306,284,117,104,288,567,687,714,860,773,344,310,168
235,184,327,177,149,305,555,711,727,877,800,330,293,172
401,315,325,117,103,291,671,672,682,899,739,267,301,179
257,211,312,75,67,287,544,726,674,883,881,256,232,180
341,280,311,188,154,313,782,782,676,781,483,194,215,182
224,189,303,87,77,290,589,602,573,761,697,272,226,182
361,308,300,133,112,303,570,742,698,894,876,291,546,194
206,189,279,61,54,293,568,656,491,759,312,195,225,210
219,188,298,114,92,316,716,723,604,748,476,178,230,214
235,204,294,44,38,295,617,654,574,737,412,215,224,217
141,109,332,184,145,325,548,653,716,899,622,297,287,220
359,285,323,178,144,316,762,748,657,843,493,195,234,224
254,203,320,117,96,313,728,770,645,778,569,162,237,226
190,168,289,116,93,317,636,761,582,879,823,182,311,227
156,129,309,137,113,309,631,717,646,849,792,283,250,231
195,173,288,44,41,273,580,635,560,762,576,235,206,235
236,197,307,111,96,297,731,682,607,821,832,287,247,242
340,286,305,134,110,314,632,737,696,885,917,311,409,251
247,213,298,99,86,297,693,754,626,867,571,268,351,255
298,244,312,196,161,312,803,800,664,743,523,137,249,266
361,294,315,145,117,318,710,711,654,868,657,267,238,267
417,354,301,175,151,295,607,738,682,912,777,284,387,268
257,218,301,49,45,280,655,699,625,847,659,301,235,268
296,241,315,106,90,300,700,745,645,770,691,259,255,290
286,232,316,138,118,302,620,735,675,869,803,401,270,291
269,230,300,132,116,293,679,694,611,790,324,227,214,300
133,117,291,118,95,316,712,747,602,827,848,236,218,306
265,236,288,65,57,294,601,725,616,775,443,185,200,306
152,127,306,144,118,311,663,781,638,857,905,260,256,309
221,187,302,120,100,305,600,723,666,890,890,273,208,314
246,218,289,110,95,297,679,729,582,804,500,217,240,333
269,222,311,109,95,295,659,718,650,845,816,275,308,338
250,230,278,134,113,303,625,682,584,850,298,217,188,344
252,222,291,111,94,301,702,723,614,758,584,202,219,344
150,108,356,114,91,320,642,694,580,890,698,204,234,346
260,216,309,105,90,299,610,736,516,825,862,293,255,348
192,127,386,224,150,383,709,738,654,812,687,242,257,349
320,289,284,105,90,297,596,676,720,920,660,261,266,350
298,254,300,97,81,307,670,726,659,775,542,289,263,351
327,270,310,114,95,307,571,730,638,833,839,298,660,354
260,224,296,91,79,296,723,800,661,836,819,190,199,355
276,218,324,124,101,314,663,681,648,846,575,269,217,360
290,255,292,115,99,297,666,697,677,860,851,296,246,360
317,285,285,139,122,290,559,709,690,893,868,311,295,388
206,182,290,96,79,313,613,753,599,754,801,232,554,389
201,155,332,151,124,312,707,723,657,908,621,290,227,397
277,241,294,94,80,301,558,742,693,879,852,339,595,398
225,179,322,121,100,309,652,711,674,874,837,226,225,409
192,160,306,127,106,306,577,648,722,887,718,404,262,413
244,216,289,126,107,300,580,709,710,864,798,275,312,419
286,243,301,214,174,314,769,769,696,873,416,270,324,425
224,191,300,158,133,303,657,781,685,850,863,202,240,435
151,119,324,98,76,330,624,764,658,969,863,119,156,437
255,223,293,93,83,288,604,721,589,907,717,274,255,441
312,275,290,124,100,317,675,737,629,783,618,218,246,441
382,329,297,163,140,297,629,701,672,860,322,168,225,453
254,205,316,100,85,301,699,611,583,754,640,233,223,454
297,268,284,157,122,330,761,804,660,814,502,128,223,459
174,141,316,141,119,304,591,706,687,845,536,278,252,459
201,166,310,85,74,296,615,637,680,812,767,274,234,469
328,286,293,143,118,311,717,769,654,747,444,146,269,476
213,196,278,110,94,300,624,708,584,859,828,259,264,479
341,282,310,185,151,314,780,773,657,819,363,261,229,483
296,253,299,97,81,306,584,759,500,878,912,332,219,487
293,253,297,141,116,311,628,712,617,765,506,259,232,489
345,286,309,120,106,291,706,754,608,848,830,373,266,492
316,272,298,108,93,297,666,744,639,744,389,232,275,506
259,217,305,204,165,317,699,765,701,850,804,243,225,507
225,206,279,97,84,296,647,701,605,749,562,254,239,522
203,167,312,118,100,302,656,691,607,788,502,177,224,522
292,255,293,107,95,290,646,783,595,756,388,144,264,528
168,144,300,137,120,292,589,660,602,853,832,336,247,529
154,135,292,200,159,321,760,776,645,763,456,191,234,533
227,195,299,194,153,325,694,733,629,835,560,334,253,536
352,315,285,103,91,291,662,719,591,799,475,293,256,542
372,326,292,84,76,283,681,672,637,821,760,235,245,542
234,200,300,162,138,300,675,757,621,768,603,192,245,542
228,197,296,123,105,298,602,749,618,814,880,339,261,549
274,229,307,112,88,325,742,766,634,804,820,211,248,563
208,165,323,129,110,299,678,703,562,858,725,160,235,577
531,442,307,129,110,298,767,733,664,822,428,226,248,582
236,220,274,86,80,275,556,610,639,878,663,256,285,584
486,378,329,169,132,327,752,754,694,877,525,298,266,585
212,200,272,74,62,303,677,717,575,804,773,250,258,587
228,185,316,105,88,306,679,706,647,832,767,257,314,588
325,269,309,87,76,290,621,641,690,846,747,339,258,589
133,115,296,111,99,288,652,694,614,776,850,227,239,591
347,311,285,89,78,295,616,645,648,879,735,291,272,591
459,397,296,92,83,284,664,766,704,908,768,428,284,600
217,195,285,88,72,311,684,705,481,778,605,182,212,601
294,250,302,102,84,312,728,769,646,790,700,280,241,607
301,265,290,97,84,296,668,672,625,840,414,286,252,611
301,255,302,117,100,299,619,722,711,904,768,190,219,616
271,238,292,87,78,288,613,646,548,735,646,267,243,622
173,139,317,178,148,308,740,758,706,962,702,255,270,623
231,196,302,122,108,290,636,728,628,844,794,248,318,627
166,139,306,232,197,302,560,712,719,850,804,336,278,636
200,164,312,171,144,303,560,724,693,892,848,367,274,644
372,317,300,140,118,304,731,762,662,763,560,309,264,646
252,217,298,122,108,290,699,720,597,824,840,306,272,646
236,206,293,158,129,314,647,723,611,806,637,315,225,649
220,188,299,128,107,307,551,657,708,936,823,279,251,652
177,147,309,111,94,301,627,771,650,838,848,306,254,657
237,191,318,142,110,329,752,710,590,743,686,207,242,657
255,222,294,91,79,296,681,658,633,754,583,201,223,657
476,416,293,181,154,300,675,788,659,902,875,331,305,661
239,198,309,120,100,308,675,779,707,876,866,375,262,664
236,190,318,236,183,329,802,763,681,756,518,260,269,664
484,400,310,129,106,311,747,713,639,829,412,288,261,667
226,191,302,75,65,297,688,776,570,902,808,264,218,681
312,263,304,70,62,289,560,667,696,866,677,240,262,690
283,240,303,109,92,302,621,759,698,860,889,232,581,698
205,182,288,127,96,339,668,728,666,798,720,421,261,709
119,101,301,112,88,325,669,767,685,839,830,201,242,725
358,318,288,100,85,301,701,744,671,770,555,225,238,726
187,154,311,135,112,308,707,724,621,755,556,216,250,727
389,334,298,92,83,284,649,712,578,821,807,263,250,740
187,141,340,71,59,309,628,706,612,812,827,206,218,743
400,355,288,121,104,299,649,676,585,763,548,244,230,743
196,152,331,168,142,303,558,722,700,915,780,274,251,746
296,247,307,214,165,331,699,704,656,847,665,277,261,748
324,284,292,76,69,283,579,735,552,815,747,252,236,753
164,150,280,104,91,295,644,668,579,872,291,152,193,773
205,178,295,201,165,312,723,722,682,805,763,268,234,779
292,244,307,171,137,320,722,728,631,828,621,261,239,785
155,111,356,159,130,311,647,670,640,847,802,279,227,788
203,177,294,55,47,299,644,739,569,796,823,226,226,790
232,203,293,214,172,319,588,727,715,865,838,408,256,798
227,205,283,111,96,297,652,701,675,884,785,248,197,804
405,331,313,186,152,313,759,775,656,826,590,335,247,807
299,230,332,159,126,323,606,798,650,852,978,235,245,814
154,145,271,39,38,268,557,646,708,769,651,314,230,833
320,268,306,75,65,296,568,698,691,875,733,248,211,839
203,176,296,146,128,292,730,721,624,747,501,221,238,841
270,228,303,70,61,294,671,700,611,759,806,234,236,859
325,269,309,176,144,314,647,758,697,860,854,409,474,874
427,358,305,137,121,289,570,692,717,922,774,378,284,877
152,125,311,115,104,283,627,624,619,755,657,235,252,882
276,241,293,110,91,311,681,768,699,910,734,247,253,888
283,251,289,81,72,288,626,765,561,854,862,283,248,892
260,228,292,139,122,291,560,715,715,925,766,337,271,892
312,274,291,84,76,285,575,642,535,798,757,247,225,895
401,328,313,91,78,300,646,696,637,796,732,244,241,901
139,122,291,131,112,298,550,668,720,813,726,258,211,905
212,172,316,108,90,305,620,686,627,848,792,301,250,905
227,191,305,83,76,280,564,595,588,761,651,247,237,907
199,124,410,227,168,346,725,756,680,859,359,223,253,909
134,124,278,122,103,305,677,708,593,754,525,201,240,913
215,168,328,119,98,311,700,748,631,903,425,186,207,924
156,130,307,133,112,305,615,728,706,894,661,381,215,927
108,80,343,117,96,311,639,661,641,814,811,268,245,936
280,234,307,105,93,289,642,719,598,748,533,296,231,936
262,224,299,125,103,309,686,741,663,746,687,222,244,937
169,144,301,115,91,322,661,792,641,798,912,375,224,941
135,98,351,126,90,361,669,660,650,899,715,236,218,942
314,238,339,204,163,320,623,673,603,846,295,228,274,953
257,232,283,124,99,320,750,729,608,838,639,225,258,954
434,379,293,140,119,303,635,738,667,786,551,309,252,959
251,218,295,85,71,307,557,771,627,792,901,196,529,961
283,254,286,137,118,297,590,710,690,772,428,234,237,964
219,188,298,127,111,293,561,723,694,895,838,268,214,967
306,249,314,113,95,304,742,786,610,930,649,113,213,972
432,395,280,89,80,285,682,668,640,835,829,283,254,974
292,260,288,75,68,285,600,708,516,751,813,206,314,976
281,255,282,132,113,299,750,720,680,887,462,222,248,978
389,327,305,89,79,287,625,696,700,808,740,336,262,981
418,382,281,114,103,283,668,652,673,787,482,277,316,991
303,270,287,96,85,291,696,651,631,830,796,296,246,1001
211,175,309,127,100,325,620,780,687,984,901,138,176,1004
128,103,320,129,101,326,666,722,617,780,418,282,234,1008
280,237,302,169,134,322,783,751,641,794,443,323,251,1017
220,188,299,137,113,309,634,740,660,741,638,236,254,1023
193,138,357,75,62,313,653,720,653,754,788,205,236,1023
411,349,302,83,73,292,622,764,585,859,870,231,330,1023
