"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","Comp-APC-A :: CD11c","Comp-APC-Cy7-A :: CD452","Comp-AmCyan-A :: L_D","Comp-BV711-A :: MHCII","Comp-PE-A :: CD11b","Comp-PE-Cy7-A :: Ly6G","Comp-Pacific Blue-A :: Ly6C","Time"
237,168,362,104,85,314,648,697,662,823,825,349,263,0
378,302,321,78,65,310,628,690,708,892,538,303,278,25
243,181,344,162,109,378,767,779,681,809,466,112,258,27
272,246,283,195,165,303,760,762,643,827,372,240,185,30
290,242,307,98,83,302,617,757,678,912,748,254,271,33
249,226,282,105,92,292,653,723,623,835,845,248,243,34
166,142,299,121,105,296,575,648,712,783,720,253,216,40
440,370,305,139,120,297,724,740,691,870,506,238,242,59
347,299,297,103,92,287,708,734,602,771,525,221,237,77
293,250,300,112,98,293,594,716,719,928,894,341,251,83
171,143,306,125,104,307,713,715,626,850,583,239,269,95
243,207,300,94,83,289,650,680,651,815,804,305,226,111
359,315,292,78,71,283,565,582,615,748,305,232,248,116
203,164,316,115,92,320,658,673,576,811,456,233,233,116
332,298,285,55,53,263,585,612,561,758,301,208,216,117
405,342,303,79,73,277,558,663,607,821,743,235,243,124
260,211,315,110,96,293,677,744,594,799,515,220,236,125
149,131,292,174,139,321,766,737,618,854,570,200,206,141
176,149,302,77,69,284,647,668,589,806,807,287,234,152
308,266,297,183,138,338,742,795,655,811,548,196,271,158
242,212,293,123,103,305,700,747,605,855,572,293,228,169
499,390,328,194,145,341,725,770,699,883,616,257,219,197
307,272,289,139,123,288,629,665,642,841,777,278,230,204
250,196,326,198,155,328,749,752,662,747,601,255,271,211
331,284,299,121,108,289,640,704,656,837,813,344,238,212
333,301,284,126,108,298,687,721,615,810,470,250,204,223
391,333,300,155,124,320,741,750,693,760,698,270,268,244
206,171,308,129,108,306,657,704,615,761,509,186,216,244
288,243,304,135,119,292,589,731,705,855,812,392,253,270
430,375,293,115,99,297,725,742,627,732,405,181,250,271
164,139,301,91,78,297,556,651,632,813,655,239,210,293
454,405,287,219,172,325,773,703,689,818,323,272,260,302
319,270,302,105,84,320,570,745,618,910,913,208,215,307
265,237,287,119,104,292,656,702,673,889,841,297,235,309
284,249,291,104,93,286,577,672,711,858,741,290,244,318
465,387,308,196,160,314,745,780,683,762,524,199,251,323
107,89,310,77,62,316,628,753,614,915,838,270,238,328
149,120,318,101,80,321,678,733,628,761,643,278,283,337
218,172,325,86,69,317,704,749,626,738,593,190,232,346
272,241,289,137,118,297,683,676,675,807,512,254,231,358
329,287,293,169,137,316,742,751,713,774,403,221,233,360
221,202,281,199,163,312,635,650,614,739,277,225,248,371
322,270,305,111,94,300,572,637,687,861,624,300,226,374
561,473,304,129,116,285,647,626,678,813,316,243,217,375
203,166,314,74,63,301,572,621,583,737,459,252,232,379
284,263,276,181,150,308,709,734,652,899,416,231,197,382
359,294,312,165,141,299,720,764,682,831,530,203,246,393
184,164,287,131,106,315,666,788,649,957,360,28,103,403
298,260,293,165,138,306,699,731,673,810,534,252,272,406
343,310,284,68,59,293,597,685,550,833,842,276,251,412
298,257,297,130,116,287,566,693,700,865,815,378,296,413
380,323,301,123,112,283,580,591,611,736,363,289,248,421
140,117,305,149,116,330,657,768,701,966,929,393,309,441
393,336,300,127,108,300,717,735,676,782,657,249,254,450
216,202,273,68,60,287,555,632,583,833,751,225,252,455
338,286,302,114,103,285,641,614,617,770,304,259,234,457
330,290,291,79,72,283,605,710,596,845,833,325,254,461
123,92,342,132,100,337,716,751,614,730,454,209,227,474
