"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","Comp-APC-A :: CD11c","Comp-APC-Cy7-A :: CD452","Comp-AmCyan-A :: L_D","Comp-BV711-A :: MHCII","Comp-PE-A :: CD11b","Comp-PE-Cy7-A :: Ly6G","Comp-Pacific Blue-A :: Ly6C","Time"
113,82,353,148,114,332,687,737,641,881,393,205,199,3
257,208,316,66,55,306,624,630,629,798,680,225,216,6
313,273,294,138,113,312,746,723,682,918,382,243,262,8
324,289,287,81,72,286,561,699,628,787,851,319,245,11
239,207,296,72,63,291,582,641,569,930,743,220,296,12
236,195,310,85,75,292,657,736,621,859,814,240,234,13
301,266,290,107,96,284,630,649,568,740,648,254,262,23
268,224,306,124,102,312,735,733,638,875,719,236,241,23
156,137,291,146,122,306,762,709,619,797,490,239,253,26
231,193,306,110,90,314,640,779,627,793,864,264,300,30
219,177,317,243,196,318,726,715,644,898,533,250,264,32
229,189,309,125,105,306,664,685,616,835,825,265,243,49
308,282,280,80,68,304,684,753,647,864,760,220,211,54
270,237,291,103,90,292,618,596,630,789,767,325,224,60
198,173,292,81,68,305,644,717,677,861,845,254,246,67
515,437,302,267,224,305,661,688,687,825,447,274,226,73
263,210,320,240,204,301,596,701,721,951,867,382,280,75
164,130,322,170,140,313,564,699,722,887,807,343,254,78
213,153,357,158,132,305,663,698,678,853,866,243,245,83
279,234,304,153,135,290,553,614,678,839,733,324,244,85
234,213,282,73,62,298,591,698,585,777,874,221,272,86
216,167,332,127,113,289,705,734,572,847,541,226,243,104
134,115,296,170,150,290,561,719,697,899,857,285,293,110
229,192,306,99,89,282,600,617,440,781,646,247,223,139
359,297,309,178,148,306,700,707,646,780,678,279,265,140
266,232,294,96,83,297,567,770,667,864,909,257,248,149
270,242,285,149,130,293,605,722,700,920,907,340,297,150
181,160,290,96,87,284,732,737,600,783,643,262,228,156
155,102,390,135,96,361,688,666,645,840,767,245,219,156
173,141,315,73,64,290,551,671,594,858,784,248,208,170
242,183,337,96,78,313,647,651,654,834,814,315,262,187
202,172,301,86,73,300,633,712,625,813,794,231,263,193
346,298,298,67,60,285,578,696,696,862,748,326,239,195
231,211,279,54,48,288,602,650,565,760,751,234,224,196
217,173,321,172,141,311,561,721,711,923,821,255,219,208
232,207,286,68,56,314,694,732,627,774,314,164,193,219
238,210,290,78,69,289,553,686,571,807,831,228,256,251
170,130,333,234,189,317,760,757,691,886,485,247,289,257
316,267,303,182,157,296,595,681,720,908,759,351,271,274
312,272,293,81,72,289,575,731,633,830,908,271,510,308
137,114,308,121,99,315,665,723,566,825,895,241,229,322
489,412,304,89,75,303,686,695,687,824,783,332,248,325
337,301,286,149,120,317,655,793,625,853,985,275,242,342
353,292,309,116,101,292,667,757,701,860,875,333,264,345
