"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","Comp-APC-A :: CD11c","Comp-APC-Cy7-A :: CD452","Comp-AmCyan-A :: L_D","Comp-BV711-A :: MHCII","Comp-PE-A :: CD11b","Comp-PE-Cy7-A :: Ly6G","Comp-Pacific Blue-A :: Ly6C","Time"
253,223,290,124,99,320,755,769,683,767,472,173,241,696
189,161,301,135,112,308,642,694,553,870,874,273,378,708
375,329,292,102,89,294,687,749,676,890,921,362,305,708
103,63,420,176,132,340,626,680,661,951,406,270,269,709
171,132,332,196,156,321,548,722,711,923,829,294,227,718
220,165,342,139,106,336,753,752,629,817,291,170,233,725
301,250,309,160,135,303,698,710,647,823,842,264,259,736
242,201,308,92,80,294,561,705,615,850,840,291,259,736
281,205,350,203,162,320,742,770,700,813,545,266,215,743
231,179,331,159,127,319,631,752,648,858,633,182,244,746
366,320,293,80,68,299,687,708,621,804,423,201,254,748
293,260,288,115,97,304,604,754,628,849,803,280,409,749
143,120,306,101,82,314,649,777,649,859,864,230,199,778
244,206,303,96,83,298,577,788,571,814,922,355,265,778
246,197,320,188,151,319,672,751,681,878,418,229,339,789
327,275,304,132,113,298,643,720,645,785,655,215,254,792
260,227,294,95,80,305,654,751,640,872,888,244,291,793
238,181,337,244,183,342,738,743,716,886,405,169,242,794
312,265,301,98,86,293,554,741,698,881,913,326,415,798
298,263,290,91,77,305,676,717,623,801,508,207,233,800
218,171,326,102,85,305,654,751,622,912,825,229,215,803
277,220,322,204,133,393,767,736,713,820,345,291,287,808
259,230,288,69,58,303,658,758,544,842,854,154,246,818
317,277,293,82,71,298,623,719,662,862,836,337,252,820
157,137,292,125,97,331,695,741,661,817,446,341,273,821
401,368,279,124,106,299,651,738,691,827,754,263,242,821
360,299,309,172,147,300,625,754,696,873,910,365,387,836
317,275,296,114,94,310,595,771,699,840,858,187,335,850
320,278,294,84,72,297,647,713,604,806,812,323,281,863
220,187,300,151,116,333,628,733,689,874,530,270,258,869
254,225,290,98,81,311,590,739,668,824,853,270,268,879
225,198,291,106,90,300,568,722,675,849,838,316,254,889
126,97,330,130,109,304,591,702,710,802,784,294,240,891
491,418,301,111,96,293,560,771,696,893,884,362,722,891
140,118,303,107,78,352,673,765,705,885,886,230,258,895
277,242,293,113,93,311,707,722,654,855,348,336,248,900
265,223,304,86,76,289,617,673,622,758,737,282,331,901
240,213,287,74,65,290,615,676,603,763,815,268,287,902
421,351,307,134,108,315,751,774,708,820,425,217,246,909
283,241,301,107,90,304,655,739,656,798,642,152,263,910
412,360,293,101,86,302,668,715,637,762,529,240,275,914
326,290,288,133,110,308,616,697,660,768,613,267,452,937
259,187,354,176,138,326,687,782,632,972,448,182,231,941
193,167,296,149,127,300,616,733,638,927,570,185,238,950
206,183,288,137,114,308,689,743,648,813,578,298,250,953
228,193,302,76,65,298,633,748,647,888,783,213,231,953
146,114,327,126,104,311,624,683,617,817,830,296,256,965
248,210,303,132,105,320,736,764,657,775,563,214,275,970
108,100,276,122,104,302,652,748,609,842,839,260,221,984
253,208,312,113,100,291,548,729,656,753,633,255,284,985
208,167,318,120,102,300,634,653,632,749,569,225,225,991
222,202,281,129,111,297,644,682,645,780,494,254,271,994
216,188,294,81,70,298,575,722,630,831,863,251,240,1007
258,223,297,57,49,297,572,700,587,787,797,243,363,1015
285,250,292,107,95,290,703,807,616,864,835,131,493,1019
155,129,307,171,137,319,594,641,684,920,328,191,154,1020
262,218,308,217,176,315,765,773,641,779,734,249,227,1020
339,289,300,87,74,299,560,754,668,940,894,307,261,1023
258,202,327,136,108,323,756,779,680,777,332,238,245,1023
340,283,307,173,141,316,745,763,591,871,433,245,438,1023
193,163,303,176,131,344,729,766,711,918,439,277,251,1023
