"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","Comp-APC-A :: CD11c","Comp-APC-Cy7-A :: CD452","Comp-AmCyan-A :: L_D","Comp-BV711-A :: MHCII","Comp-PE-A :: CD11b","Comp-PE-Cy7-A :: Ly6G","Comp-Pacific Blue-A :: Ly6C","Time"
189,164,295,94,81,298,647,700,593,794,803,290,235,1
290,251,296,101,89,291,594,743,672,813,866,339,250,3
266,235,291,114,100,292,607,706,626,879,777,229,212,4
168,125,343,183,150,313,609,774,699,866,855,223,207,61
391,343,292,112,97,295,597,754,597,849,846,282,363,66
179,160,285,118,97,313,684,774,669,931,910,295,214,66
274,214,328,164,137,307,594,752,677,901,868,238,206,67
192,150,327,132,108,312,631,604,620,819,791,287,244,93
318,289,282,85,74,293,609,744,578,862,784,295,282,118
273,236,295,126,105,309,624,679,626,889,776,288,255,137
299,252,303,135,118,293,619,742,715,823,814,264,256,154
339,290,299,134,115,299,620,766,677,874,834,303,347,156
270,226,306,178,150,303,647,700,712,987,900,364,358,164
396,344,295,92,83,285,592,704,693,873,792,253,257,191
165,133,317,177,146,312,609,746,681,954,872,259,245,208
299,248,308,160,135,304,622,776,704,857,876,408,272,213
279,246,290,122,109,288,546,673,691,843,788,453,247,219
220,186,304,119,98,310,584,736,671,923,832,215,582,219
271,242,286,97,85,291,607,720,559,808,868,250,246,223
303,240,324,99,83,305,581,647,686,829,798,274,507,226
260,222,300,108,95,293,551,736,686,888,866,327,256,239
387,343,289,89,82,278,545,676,665,898,855,339,271,249
139,113,316,158,127,319,557,694,703,895,841,321,254,256
535,472,290,124,110,289,615,777,644,771,866,290,280,261
222,192,295,106,92,296,649,689,618,778,883,249,317,276
279,233,306,158,138,295,579,674,675,893,870,420,289,311
274,233,300,188,168,286,614,713,709,888,851,324,311,332
276,235,300,137,116,302,594,708,715,875,843,397,242,364
214,182,300,99,82,310,606,752,696,890,899,337,228,421
443,382,297,97,86,289,603,754,669,889,867,243,205,423
246,203,311,183,150,312,649,725,702,965,863,358,317,428
444,410,277,90,82,281,617,685,701,930,845,321,393,455
254,215,302,114,98,299,613,745,693,918,820,308,366,455
284,246,296,90,77,297,649,711,699,886,827,298,320,456
333,281,304,174,150,297,654,756,709,842,865,307,261,457
233,191,313,110,95,295,657,745,606,808,776,309,224,460
274,224,314,123,106,297,643,754,676,921,871,165,289,464
263,230,292,102,90,290,560,682,672,860,818,305,269,465
282,241,299,95,83,291,566,682,698,875,862,398,258,469
212,179,303,123,109,289,637,732,627,835,789,218,229,482
370,312,303,171,144,304,672,732,666,771,751,283,269,484
206,159,333,183,159,295,577,684,707,904,835,332,298,516
236,184,328,119,104,293,689,701,618,836,756,261,228,526
214,183,300,97,82,303,705,723,535,832,765,280,235,532
237,215,282,156,127,315,611,794,683,895,900,308,525,552
412,368,287,95,85,287,577,731,659,834,855,340,275,561
184,145,324,92,78,302,612,748,639,870,828,191,197,563
283,237,305,221,173,326,685,743,695,910,874,358,269,592
267,226,303,144,126,294,546,732,669,878,848,263,263,594
367,304,309,174,149,300,608,713,721,962,823,396,673,601
220,198,284,100,83,310,611,763,622,847,890,265,223,630
134,117,295,125,108,298,678,728,600,817,771,173,202,634
265,233,291,54,49,282,611,724,606,810,825,258,317,641
184,141,335,227,174,334,685,743,635,865,884,227,234,645
209,170,314,79,68,299,616,732,693,841,811,296,266,650
266,217,314,214,183,299,750,763,665,768,883,341,234,657
173,135,327,79,69,293,651,710,586,874,752,273,224,659
313,264,303,112,101,283,588,669,688,897,845,380,315,660
359,299,307,101,86,299,659,792,682,873,856,186,259,675
365,314,298,105,92,290,721,757,714,808,850,288,301,678
283,249,291,87,73,302,640,711,691,883,855,269,269,687
303,263,295,89,78,289,617,729,567,773,934,363,239,707
232,197,301,93,80,298,583,726,690,798,891,338,247,717
362,314,295,55,51,277,549,643,687,798,750,265,282,720
270,231,299,130,114,292,572,680,696,919,828,310,265,726
158,126,321,127,103,317,686,744,683,829,858,311,371,745
247,200,316,153,130,300,606,685,711,879,784,346,220,764
319,261,312,94,82,295,556,755,668,875,895,308,267,764
171,154,284,139,118,302,581,719,716,929,846,229,218,770
284,246,296,156,131,304,553,719,717,947,867,381,336,787
429,368,298,123,104,302,633,755,686,905,998,411,277,829
368,318,296,119,100,304,653,745,660,896,840,254,369,831
329,297,283,73,65,287,638,736,692,831,810,267,326,843
425,359,303,63,53,306,600,745,594,902,846,243,274,854
275,245,288,92,79,298,677,757,604,886,808,168,187,862
179,153,299,167,141,302,589,697,709,869,816,359,419,869
261,240,279,148,133,285,613,735,667,827,841,295,231,871
214,189,290,94,80,303,695,781,688,816,833,258,271,871
315,259,312,121,101,306,599,783,683,858,852,288,292,888
227,198,294,119,104,294,572,673,636,748,833,268,242,900
227,189,307,136,119,292,569,734,681,900,894,363,281,902
212,187,290,105,93,290,693,736,627,858,794,194,251,919
279,243,293,160,143,287,565,660,651,918,778,320,260,940
235,194,311,119,106,288,549,702,684,782,846,265,345,975
143,127,290,114,98,297,561,681,660,877,795,271,235,975
294,217,348,130,104,319,691,757,606,892,823,211,252,1008
206,169,312,162,136,305,546,718,700,831,819,374,273,1020
232,198,300,98,86,292,637,727,609,836,851,221,237,1023
