"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","Comp-APC-A :: CD11c","Comp-APC-Cy7-A :: CD452","Comp-AmCyan-A :: L_D","Comp-BV711-A :: MHCII","Comp-PE-A :: CD11b","Comp-PE-Cy7-A :: Ly6G","Comp-Pacific Blue-A :: Ly6C","Time"
349,302,296,121,108,289,268,653,626,461,829,282,831,25
251,217,297,77,71,277,252,669,614,338,824,262,742,43
259,214,311,335,291,295,330,664,628,317,805,391,710,57
275,237,298,109,97,287,193,647,657,453,839,301,839,245
276,242,292,68,61,285,301,655,601,677,818,299,764,387
295,265,285,74,69,275,233,637,652,329,860,250,758,505
344,312,282,82,76,274,231,640,605,465,800,292,832,866
336,288,298,137,119,295,364,682,686,740,834,314,712,910
324,291,285,90,78,298,443,718,708,693,853,308,729,950
