"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","Comp-APC-A :: CD11c","Comp-APC-Cy7-A :: CD452","Comp-AmCyan-A :: L_D","Comp-BV711-A :: MHCII","Comp-PE-A :: CD11b","Comp-PE-Cy7-A :: Ly6G","Comp-Pacific Blue-A :: Ly6C","Time"
209,183,292,105,93,288,321,631,605,431,818,228,805,1
332,296,287,141,126,287,246,656,687,498,895,355,847,2
300,276,278,63,56,285,337,650,656,457,781,312,734,102
248,220,289,89,78,292,256,650,688,455,816,266,841,166
263,231,292,79,70,289,283,668,610,588,853,264,825,211
265,225,302,91,74,313,412,708,630,709,872,277,810,259
172,147,299,67,59,291,224,630,629,423,864,240,780,367
350,308,291,97,89,280,291,692,648,650,844,304,772,517
255,221,295,90,77,299,325,720,625,421,910,271,775,575
206,178,296,93,81,294,345,701,627,725,827,271,790,655
157,133,302,94,81,299,356,675,674,748,844,310,714,656
298,261,293,68,62,281,304,651,606,460,838,290,836,836
365,308,304,141,123,294,505,702,704,915,877,345,734,859
403,363,285,77,72,275,242,619,571,407,820,265,783,867
278,244,292,73,65,288,408,698,672,856,908,306,757,920
258,220,300,99,85,297,244,699,661,525,833,323,870,941
151,130,297,105,92,292,234,640,592,411,794,274,789,982
287,262,281,87,77,288,387,717,657,637,829,324,804,1018
326,290,288,75,67,286,237,702,620,550,832,252,782,1023
