"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","Comp-APC-A :: CD11c","Comp-APC-Cy7-A :: CD452","Comp-AmCyan-A :: L_D","Comp-BV711-A :: MHCII","Comp-PE-A :: CD11b","Comp-PE-Cy7-A :: Ly6G","Comp-Pacific Blue-A :: Ly6C","Time"
271,240,289,68,62,284,350,627,565,736,810,305,695,51
387,348,285,108,99,277,254,659,581,457,859,295,826,102
245,216,290,76,65,299,337,697,632,678,899,270,777,127
175,154,291,94,84,283,383,696,638,658,831,268,758,139
247,210,301,96,82,298,371,740,664,540,902,319,845,142
309,276,286,422,369,293,381,623,621,367,902,238,696,151
221,199,285,69,62,286,381,622,593,609,748,235,757,203
266,232,294,84,76,282,285,697,589,542,850,256,832,208
186,166,287,140,122,295,253,722,638,700,877,290,821,219
303,264,294,70,65,275,183,737,557,709,814,256,811,276
228,208,281,120,107,285,311,677,598,455,758,266,772,280
256,223,294,97,86,288,181,653,689,469,828,244,846,483
287,253,289,90,82,280,360,705,672,568,844,314,815,483
250,218,293,103,90,293,269,692,672,606,863,285,878,521
314,275,292,101,93,279,307,621,639,439,812,267,818,539
233,206,290,84,76,282,336,654,500,499,892,474,758,564
323,293,282,75,69,278,394,690,626,722,835,266,699,584
185,160,297,76,66,295,351,633,676,566,839,235,779,604
300,265,290,104,91,294,270,699,641,496,838,294,864,642
290,260,285,105,94,284,378,686,698,466,854,325,804,652
148,121,313,99,87,292,278,630,641,465,797,227,842,717
156,132,303,112,97,298,328,696,637,453,882,351,814,824
357,322,284,66,63,267,277,605,578,329,796,263,712,840
201,172,298,75,62,308,291,679,528,524,828,261,745,844
226,198,292,74,66,286,166,653,574,508,828,273,844,866
288,255,290,120,105,292,336,701,637,678,858,248,811,895
397,355,286,117,100,300,328,713,699,665,899,415,829,915
359,309,297,93,78,304,262,727,672,693,896,340,739,921
359,311,296,125,113,282,314,699,638,667,865,271,824,955
431,387,285,130,118,281,236,695,629,740,842,310,769,960
299,243,316,98,86,292,298,646,673,558,811,257,819,996
243,220,283,91,80,293,187,688,618,409,857,295,781,1002
245,214,293,84,74,291,328,649,647,556,816,303,826,1023
