"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","Comp-APC-A :: CD11c","Comp-APC-Cy7-A :: CD452","Comp-AmCyan-A :: L_D","Comp-BV711-A :: MHCII","Comp-PE-A :: CD11b","Comp-PE-Cy7-A :: Ly6G","Comp-Pacific Blue-A :: Ly6C","Time"
241,203,304,100,89,287,253,641,612,413,833,304,777,44
259,221,300,123,106,298,354,705,701,467,907,390,809,54
162,139,299,83,69,312,291,685,594,490,880,340,825,192
300,264,291,112,98,291,444,703,642,688,788,271,870,250
333,281,304,112,95,300,530,727,711,761,869,355,740,291
246,217,290,94,86,279,302,653,640,506,870,256,846,304
251,217,296,82,69,302,327,714,654,739,846,289,807,368
327,293,287,66,60,279,194,680,622,360,843,267,733,369
268,242,284,109,98,284,280,660,655,421,894,352,789,412
252,212,305,75,66,291,234,685,668,415,849,275,799,420
335,289,297,100,86,301,408,723,657,737,889,368,804,461
307,277,284,72,65,284,262,664,667,416,830,293,765,475
335,290,295,104,83,319,216,628,695,475,837,298,820,480
336,308,280,69,63,282,223,705,677,660,959,341,752,501
297,266,287,57,52,279,279,672,596,424,866,288,795,621
370,327,289,95,86,283,243,674,635,469,845,287,836,635
277,247,287,70,62,288,242,639,641,439,866,265,830,746
312,274,292,65,58,286,300,649,649,433,860,295,796,750
329,297,284,73,64,291,295,710,621,620,760,270,763,815
332,288,295,96,84,291,511,716,717,850,850,348,697,879
243,210,297,70,61,291,461,731,615,807,830,216,713,880
491,418,301,111,96,293,560,771,696,893,884,362,722,891
157,131,307,92,82,289,308,649,647,575,842,323,800,924
292,247,302,106,90,300,478,759,671,634,845,337,802,1014
195,165,302,83,71,300,249,631,630,521,839,285,829,1014
246,213,295,110,97,290,292,650,602,465,860,282,814,1019
296,260,291,70,63,286,354,704,587,817,829,301,699,1023
