"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","Comp-APC-A :: CD19","Comp-APC-Cy7-A :: CD4","Comp-AmCyan-A :: L_D","Comp-BV711-A :: CD8","Comp-FITC-A :: CD49b","Comp-PE-A :: CD45","Comp-PE-Cy7-A :: TCRb","Comp-Pacific Blue-A :: NKp46","Time"
340,318,274,108,95,290,254,222,425,251,379,684,235,447,0
331,295,287,179,153,299,259,241,555,239,432,667,253,477,2
294,243,309,150,135,286,243,224,599,229,638,737,248,421,3
262,239,281,153,132,297,246,333,522,261,491,730,252,556,8
322,283,291,127,115,282,259,226,482,239,362,711,227,579,15
223,193,296,186,170,280,246,237,513,264,467,690,241,590,23
377,338,285,126,116,277,241,233,548,234,485,677,232,485,23
460,414,284,99,90,282,252,232,564,237,623,699,252,435,31
287,257,286,84,76,282,252,222,583,226,587,720,233,468,34
344,293,300,112,99,290,254,231,590,237,579,695,240,470,34
416,382,278,89,78,292,241,585,514,254,400,672,268,543,35
284,258,282,145,130,285,268,227,579,255,412,730,237,580,39
407,361,289,109,99,281,248,233,568,239,436,702,241,462,40
349,326,274,149,134,285,237,597,587,252,415,649,275,403,45
415,370,287,111,95,300,241,233,569,258,373,707,235,590,48
187,154,311,186,157,303,265,228,664,259,496,717,233,434,49
559,483,296,150,134,287,247,210,622,239,411,673,252,568,57
372,337,282,115,108,272,258,217,550,262,393,702,248,493,61
507,443,293,86,80,275,253,237,573,235,531,687,230,436,63
418,373,287,93,87,274,258,234,532,256,358,680,241,588,67
499,437,293,185,166,287,255,605,618,248,428,691,257,534,68
327,298,281,160,143,286,245,233,507,246,555,718,231,449,72
236,195,310,181,162,286,238,228,585,245,484,688,246,446,72
375,304,316,153,75,524,241,251,697,250,554,644,234,473,75
383,342,287,123,113,278,238,222,460,246,404,681,265,519,75
320,259,316,141,123,293,267,231,603,236,544,707,262,463,77
549,495,284,163,140,297,259,500,646,252,551,585,277,406,89
258,230,287,227,188,309,263,231,656,258,463,667,246,489,90
486,451,276,71,65,279,259,264,615,235,459,667,239,397,92
277,192,371,129,98,338,242,228,584,239,444,674,236,560,108
370,320,296,151,133,290,259,233,605,243,439,699,231,514,113
344,308,286,144,131,281,263,222,498,237,459,666,237,422,114
455,416,280,168,149,289,255,227,598,244,502,696,255,549,119
449,397,289,173,152,292,257,236,704,236,491,685,243,488,129
446,419,272,78,76,262,250,236,528,252,490,687,227,428,130
