"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","Comp-APC-A :: CD19","Comp-APC-Cy7-A :: CD4","Comp-AmCyan-A :: L_D","Comp-BV711-A :: CD8","Comp-FITC-A :: CD49b","Comp-PE-A :: CD45","Comp-PE-Cy7-A :: TCRb","Comp-Pacific Blue-A :: NKp46","Time"
284,249,292,102,94,278,243,225,567,269,359,700,252,594,10
390,363,276,97,88,282,244,231,439,243,365,697,224,450,15
303,257,302,131,117,286,244,217,510,260,367,697,241,496,24
239,217,283,84,79,270,237,230,547,225,391,646,234,426,24
361,321,288,84,79,273,242,222,299,224,423,705,234,406,27
381,343,284,100,93,274,250,218,606,234,459,662,245,496,37
424,330,329,87,74,304,236,242,551,245,384,658,228,421,38
487,424,294,173,152,292,245,218,644,251,533,740,258,437,44
346,318,278,85,81,268,243,227,484,253,431,720,253,429,67
363,313,297,107,98,279,230,231,503,269,472,689,239,461,80
261,226,295,165,143,295,246,225,539,278,465,735,243,533,87
228,194,301,97,87,287,230,241,488,223,427,706,237,416,112
259,218,304,84,76,285,243,240,571,229,369,685,227,428,112
214,155,355,130,113,294,245,229,592,229,464,694,252,412,119
389,347,287,115,106,278,257,234,511,237,381,676,229,556,127
305,279,281,98,92,274,238,230,570,226,537,643,230,488,128
539,494,279,97,93,267,250,236,448,254,413,659,236,530,129
328,299,281,128,116,282,243,244,609,228,468,732,221,507,149
267,227,301,85,79,277,245,243,579,238,479,662,238,446,159
410,367,286,89,83,274,247,225,470,237,535,691,248,403,161
230,190,311,66,61,278,231,231,563,259,446,655,238,389,167
320,273,300,70,63,285,259,239,540,245,438,733,245,542,168
210,164,328,91,82,283,241,232,532,250,407,686,227,466,172
507,452,287,117,108,277,250,532,583,250,417,685,247,450,174
354,316,286,146,131,284,274,220,589,234,406,666,246,512,181
348,312,286,69,64,275,254,229,429,235,522,731,241,439,184
381,348,280,119,105,288,242,216,580,239,406,713,251,463,218
260,228,293,124,114,279,260,214,530,277,356,727,235,427,238
487,438,285,264,235,287,249,353,639,265,520,719,249,624,238
409,376,279,137,124,284,243,225,544,236,486,713,246,508,244
414,372,285,131,122,275,246,237,594,246,436,647,233,472,251
307,267,294,117,107,281,241,252,548,258,436,722,230,451,264
574,506,290,132,119,285,230,232,615,236,562,687,242,491,270
432,381,290,125,114,281,249,217,565,242,451,683,249,406,274
