"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","Comp-APC-A :: CD19","Comp-APC-Cy7-A :: CD4","Comp-AmCyan-A :: L_D","Comp-BV711-A :: CD8","Comp-FITC-A :: CD49b","Comp-PE-A :: CD45","Comp-PE-Cy7-A :: TCRb","Comp-Pacific Blue-A :: NKp46","Time"
359,312,295,115,102,289,243,234,560,230,578,706,246,542,2
243,192,325,131,114,293,242,244,520,237,451,731,232,453,7
406,351,296,91,82,283,259,237,572,233,553,711,238,517,13
314,287,280,103,91,287,241,234,590,215,595,693,239,489,23
525,488,275,125,117,275,255,242,584,239,453,708,246,561,33
467,428,279,89,84,272,245,218,592,249,366,664,244,534,33
346,304,291,206,180,293,270,540,554,238,423,746,296,541,44
357,310,295,90,83,277,253,229,604,253,524,696,239,502,58
263,226,297,116,100,296,261,233,396,230,451,730,239,448,65
360,311,296,97,87,287,253,226,552,228,430,659,236,410,67
508,467,278,178,161,283,248,230,634,265,475,683,248,478,73
512,480,273,94,87,278,234,249,538,235,382,716,229,480,93
384,345,285,82,75,278,248,248,398,247,442,724,251,474,118
268,210,327,91,84,280,245,229,619,233,416,665,235,563,118
467,430,278,161,146,282,251,227,579,268,427,729,250,565,148
444,412,276,125,113,284,265,225,539,234,500,698,245,389,149
297,255,298,134,117,293,251,221,520,244,510,757,241,515,160
413,368,288,166,149,285,237,591,581,252,509,715,219,578,183
237,210,289,96,90,273,257,233,570,225,418,712,233,453,185
214,181,302,85,77,282,249,233,498,233,449,709,249,429,188
391,363,276,56,54,266,243,220,610,245,418,690,235,469,191
255,220,297,122,108,289,264,243,509,251,374,704,240,423,193
617,486,325,458,327,358,291,241,689,254,505,717,241,582,196
499,455,281,78,71,279,258,223,602,241,463,686,256,462,220
364,318,293,164,145,289,265,236,553,247,500,735,251,484,243
281,246,292,131,116,289,259,255,605,275,497,775,264,507,250
369,335,282,109,98,283,261,238,610,235,438,613,236,423,255
424,390,279,112,104,275,234,234,568,237,384,688,249,422,264
378,341,284,112,106,272,240,233,589,245,373,703,251,416,295
247,202,313,136,116,301,268,222,657,262,528,700,248,481,305
185,158,300,82,73,287,256,225,508,237,420,697,230,487,307
322,283,291,154,140,283,257,228,517,250,453,736,260,548,321
481,426,289,142,128,284,268,211,569,243,394,694,237,536,322
319,279,293,118,108,279,227,220,524,238,487,747,259,545,325
288,256,288,156,140,286,249,227,435,232,477,664,230,424,353
457,420,278,76,70,277,233,232,591,244,393,715,245,421,365
536,504,272,83,76,281,233,226,581,258,394,725,245,556,373
500,461,278,112,106,271,232,226,545,236,371,697,255,423,383
388,327,304,177,159,285,259,592,584,253,452,648,257,438,403
311,275,289,171,151,289,259,228,636,241,478,657,240,481,404
411,366,287,111,104,274,236,233,571,234,410,635,235,463,411
172,159,278,167,144,297,227,481,601,257,382,675,245,600,412
393,340,297,124,100,317,247,224,686,250,572,762,246,580,412
388,359,277,114,104,281,257,239,589,267,412,709,240,530,431
333,298,286,105,94,285,261,221,513,264,452,767,254,578,444
336,299,287,77,72,274,244,231,527,219,413,727,240,532,454
407,354,295,120,109,283,250,236,488,240,621,724,228,451,458
372,336,283,98,87,289,253,237,600,215,414,759,242,402,468
309,275,287,156,130,306,257,563,602,244,392,751,272,594,477
222,176,323,131,106,315,275,214,590,248,425,641,253,407,484
429,395,278,98,87,286,254,234,590,251,427,679,226,553,486
630,552,293,185,166,285,250,223,593,252,509,744,230,561,489
335,291,294,115,100,292,250,234,549,229,486,599,227,391,501
463,419,283,54,51,274,236,221,505,242,496,705,232,404,501
166,140,304,148,126,302,247,223,590,224,379,721,224,437,502
355,313,291,114,103,283,253,227,555,262,429,756,260,553,506
474,438,277,72,70,265,247,335,501,242,373,690,219,539,512
342,301,291,91,86,273,250,236,550,249,374,688,226,433,517
282,245,295,115,107,277,246,243,524,213,426,697,227,443,518
416,375,284,89,83,273,247,226,542,244,545,718,252,439,529
270,234,296,114,106,275,230,235,539,253,454,685,225,474,535
390,348,287,106,95,284,244,235,591,252,465,654,244,487,557
185,167,284,99,85,298,240,220,608,235,385,735,257,530,558
405,319,325,118,104,290,247,229,602,229,543,741,238,405,566
423,379,286,103,94,282,231,229,620,254,554,681,233,493,569
422,376,287,122,115,273,257,222,535,253,621,748,263,483,577
475,442,275,155,141,280,268,270,632,240,521,652,232,426,585
422,390,278,222,199,285,261,603,587,258,379,743,267,602,590
410,358,293,158,140,288,234,655,567,252,443,685,276,571,595
373,345,277,105,89,303,257,245,485,228,385,690,237,447,596
365,326,286,76,70,276,222,239,533,232,420,706,244,490,599
284,246,295,155,142,280,258,228,585,250,386,777,234,612,599
502,457,281,139,126,283,266,230,615,251,454,706,235,499,609
269,215,321,108,95,290,238,224,425,248,426,700,230,472,612
296,261,290,90,84,273,227,227,438,248,363,617,228,387,612
426,395,276,177,163,278,241,230,588,267,479,783,251,554,623
274,236,297,96,87,284,243,233,549,240,393,715,244,452,634
457,428,273,92,85,278,248,229,579,238,472,823,240,484,644
282,245,295,109,98,285,254,228,479,229,401,779,245,431,647
394,352,287,86,79,282,244,242,531,243,407,697,223,448,668
300,271,283,127,116,282,233,236,521,247,480,674,229,433,675
317,277,293,154,138,286,244,239,465,253,411,701,251,588,681
905,714,325,467,367,326,302,233,710,280,578,682,257,452,689
306,270,290,82,72,289,258,221,527,233,384,726,236,457,703
245,200,314,123,113,279,256,232,625,265,459,751,255,414,711
359,322,285,116,107,279,243,239,559,227,452,646,217,409,724
262,230,291,102,93,279,254,239,533,233,370,681,218,386,726
405,371,280,67,58,294,234,227,593,236,454,642,239,455,732
543,494,281,131,113,296,259,215,572,245,423,713,254,428,734
272,232,300,109,99,284,235,234,563,236,486,733,236,479,737
218,188,297,188,170,283,263,238,515,261,527,695,247,404,745
570,543,269,132,122,277,260,218,633,244,514,688,251,492,747
322,295,280,143,131,279,224,391,608,265,460,736,244,557,752
367,322,292,117,104,287,258,235,565,226,455,689,239,385,775
314,296,271,146,137,272,260,225,485,268,393,770,229,546,778
495,441,287,184,157,301,253,700,595,245,533,730,265,505,779
269,237,290,158,143,284,248,238,590,269,376,721,238,518,788
439,407,277,89,83,274,239,238,498,250,478,665,245,552,790
291,270,275,123,110,286,245,243,574,232,366,705,251,549,792
308,256,308,104,92,291,253,218,529,252,539,784,245,565,795
267,232,295,95,89,273,229,233,588,253,483,687,242,472,809
320,294,279,93,86,276,259,391,537,264,365,649,238,476,814
249,208,306,98,86,293,231,227,513,236,360,645,241,419,817
348,321,278,169,145,299,260,257,576,281,414,740,248,590,824
403,343,301,92,83,284,244,600,572,255,357,704,273,395,826
624,470,340,416,328,325,302,231,675,259,435,763,255,492,831
490,460,273,139,126,282,258,250,627,254,436,735,248,549,832
479,432,284,95,89,274,251,232,532,239,478,660,240,482,852
333,316,270,127,112,288,259,236,503,235,354,671,230,534,855
579,542,274,80,74,278,263,236,551,236,411,715,255,495,857
424,383,283,88,80,281,261,238,656,233,433,692,252,426,858
262,221,303,116,106,280,251,235,554,239,421,712,248,487,869
351,316,284,71,66,277,267,224,560,284,419,728,288,495,869
544,498,280,94,89,272,251,239,560,244,526,678,226,518,873
222,189,302,106,93,292,253,226,370,233,357,693,237,546,898
399,340,300,152,138,282,226,589,606,239,450,713,245,444,914
493,442,285,102,96,273,248,226,613,233,439,721,241,385,919
268,237,289,116,103,288,256,237,508,230,403,704,237,416,919
331,300,283,77,69,284,257,264,539,223,429,741,226,547,921
331,307,276,119,107,284,255,231,623,245,512,719,323,419,928
189,175,276,105,94,287,259,225,552,235,449,681,240,477,945
341,299,292,80,72,284,261,215,383,247,471,740,264,498,949
479,446,275,118,108,279,249,221,562,278,553,780,239,641,950
205,172,305,187,165,291,256,224,674,249,533,709,231,469,950
319,290,282,78,72,275,236,233,482,226,598,685,226,409,951
263,238,284,91,81,287,234,235,553,234,361,654,227,434,955
399,366,279,88,85,267,237,227,392,244,446,753,253,411,957
275,240,293,80,73,281,250,233,478,242,356,745,255,555,966
507,474,273,100,94,274,233,239,613,238,435,681,230,400,969
469,446,270,127,114,285,248,216,588,283,483,782,245,612,984
206,169,311,107,94,293,258,239,607,274,501,738,241,594,988
286,238,308,163,140,298,243,241,575,271,430,729,255,531,990
419,383,280,109,99,284,241,238,603,239,453,721,238,451,995
373,340,281,128,117,280,248,228,459,228,469,718,260,512,1007
362,337,275,126,113,287,258,230,528,260,425,772,246,623,1010
384,346,284,69,63,282,243,232,588,256,472,768,229,522,1022
