"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","Comp-APC-A :: CD19","Comp-APC-Cy7-A :: CD4","Comp-AmCyan-A :: L_D","Comp-BV711-A :: CD8","Comp-FITC-A :: CD49b","Comp-PE-A :: CD45","Comp-PE-Cy7-A :: TCRb","Comp-Pacific Blue-A :: NKp46","Time"
394,351,288,126,120,270,251,227,479,245,378,653,233,492,629
435,396,282,96,90,273,250,226,567,239,573,700,236,408,639
303,276,281,115,105,281,244,234,569,222,362,709,223,483,648
535,477,287,209,185,290,262,236,534,252,445,769,256,462,650
309,269,294,112,100,285,242,240,599,248,494,737,227,417,659
251,227,283,108,94,293,248,239,583,226,430,649,233,384,661
410,373,281,133,123,276,246,241,357,244,584,670,243,441,663
456,422,276,128,113,290,250,231,583,228,389,696,234,391,674
356,322,283,101,94,277,248,223,566,252,356,648,254,494,688
279,240,297,160,131,314,232,663,614,251,447,746,298,564,690
283,253,286,129,112,295,270,238,674,357,479,716,297,539,692
457,396,296,220,190,296,268,233,591,246,519,626,261,405,697
174,153,291,123,108,293,256,248,570,227,364,698,234,483,698
301,257,300,138,123,287,235,236,608,302,482,723,234,486,701
378,343,282,123,106,296,251,220,561,237,422,670,250,457,708
311,280,285,160,145,284,250,571,612,239,420,667,265,497,709
433,380,292,129,115,287,250,228,609,254,460,742,268,549,710
425,384,283,105,97,278,243,226,560,234,358,709,238,505,716
435,394,282,119,111,274,235,222,524,228,418,682,238,426,730
427,385,284,86,80,277,244,236,554,255,421,690,235,454,740
396,371,274,136,126,277,241,225,452,261,395,653,243,397,751
518,471,282,105,98,275,247,237,538,247,453,692,241,501,761
316,274,295,130,117,286,253,231,597,261,446,710,242,569,770
428,380,289,99,93,275,254,224,590,228,409,680,256,410,774
378,337,287,184,164,287,233,232,579,244,450,772,265,521,775
259,238,279,104,91,292,258,230,543,241,423,614,233,395,781
268,257,268,100,88,291,263,235,544,217,468,698,231,452,798
223,182,314,125,110,291,251,236,522,268,374,675,236,552,809
473,394,307,174,151,295,279,221,620,236,476,717,253,394,809
220,173,326,144,127,290,246,216,562,241,455,701,241,494,811
351,313,287,159,141,288,257,227,645,241,497,742,239,512,825
233,208,288,97,86,287,242,235,388,234,392,656,226,413,832
465,443,269,149,137,279,262,241,586,255,459,683,227,587,843
623,546,292,215,190,289,275,231,619,245,507,734,243,427,863
248,230,276,189,162,298,249,633,624,253,496,734,276,531,872
412,359,294,136,124,279,248,234,563,231,486,729,231,390,874
364,316,295,104,98,271,256,215,580,242,477,653,234,414,875
422,385,281,131,119,281,239,230,523,247,360,729,227,519,884
331,300,282,136,123,283,257,242,529,251,512,699,239,501,885
712,595,306,331,264,321,271,237,680,236,496,749,255,457,890
482,425,290,83,79,271,249,234,579,229,396,723,279,519,897
494,433,292,152,137,284,255,223,643,263,506,677,248,444,901
251,215,299,81,74,280,243,232,479,246,454,653,226,442,905
577,536,276,129,117,283,247,224,591,270,404,752,253,571,909
471,424,284,135,117,296,268,243,584,220,503,750,237,387,910
250,197,324,215,176,313,263,223,616,252,478,678,235,407,912
327,300,280,225,201,286,277,220,589,240,464,681,243,453,920
446,390,293,95,87,279,250,237,626,234,445,691,244,481,944
502,464,277,70,68,264,237,230,483,234,455,688,228,463,944
252,221,292,99,91,279,255,230,546,242,426,694,224,455,952
245,223,281,125,111,288,250,235,554,237,365,693,254,558,967
359,326,282,111,102,277,241,252,602,235,471,752,236,529,972
403,369,279,82,77,273,242,244,460,233,603,695,248,383,984
288,244,303,171,150,292,248,215,531,239,359,755,249,416,989
356,323,282,74,67,281,245,242,527,240,406,697,248,545,990
422,383,282,83,77,275,250,248,450,258,491,690,230,388,1016
390,356,280,122,107,290,262,224,532,216,407,688,227,415,1018
341,298,294,128,112,295,245,244,557,262,425,772,236,519,1023
455,378,308,133,117,292,247,222,613,231,493,685,255,419,1023
291,262,285,107,97,283,255,236,469,239,453,663,222,506,1023
491,423,297,193,158,311,294,236,644,234,449,739,240,483,1023
