"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","Comp-APC-A :: CD19","Comp-APC-Cy7-A :: CD4","Comp-AmCyan-A :: L_D","Comp-BV711-A :: CD8","Comp-FITC-A :: CD49b","Comp-PE-A :: CD45","Comp-PE-Cy7-A :: TCRb","Comp-Pacific Blue-A :: NKp46","Time"
430,402,274,122,112,278,259,236,548,228,452,611,239,383,20
317,295,275,138,125,281,260,227,582,279,410,706,240,613,26
321,288,286,174,141,317,260,556,637,267,594,729,266,585,30
416,385,276,106,97,278,233,219,505,252,593,729,241,395,30
260,230,290,110,101,277,248,226,530,258,401,667,235,385,40
339,298,291,98,87,288,251,234,601,242,451,662,250,447,57
336,299,288,122,113,276,223,234,551,235,363,704,233,502,63
372,332,287,81,75,275,232,225,549,232,581,693,246,409,71
371,339,280,96,90,275,234,229,561,237,384,647,247,493,88
235,195,308,105,92,290,243,228,523,249,366,734,233,397,103
509,465,280,100,95,270,245,228,618,234,398,656,213,487,121
296,245,310,93,83,286,239,240,535,238,463,665,230,448,126
421,395,272,86,81,274,242,229,531,261,373,673,234,416,134
464,427,279,112,107,268,247,244,514,250,461,668,235,447,135
392,353,284,149,134,284,251,220,586,243,412,725,258,563,137
556,506,281,127,118,274,260,225,456,241,446,685,233,493,147
455,407,287,107,97,281,252,242,595,239,435,707,248,407,155
354,317,285,73,69,272,254,216,571,239,479,654,250,383,178
366,309,304,143,129,284,246,231,609,227,440,674,274,506,192
291,264,283,83,76,277,251,234,486,243,458,660,243,397,198
290,260,286,102,88,297,243,220,608,248,610,688,243,437,198
338,302,286,99,91,281,242,215,533,260,443,654,250,467,221
505,474,273,116,107,279,261,252,538,233,507,654,222,412,227
358,316,290,141,122,296,247,600,541,224,366,641,224,407,253
329,298,282,64,59,274,232,241,552,231,452,648,230,425,261
415,364,292,152,138,282,239,617,593,238,369,667,278,490,307
448,401,286,129,120,277,252,225,565,249,534,696,245,556,329
375,339,283,77,72,273,247,221,408,252,470,690,229,453,342
662,582,291,392,314,320,325,241,734,274,550,682,263,421,374
456,420,278,115,106,277,251,228,462,246,357,689,222,408,383
267,241,284,110,98,287,240,220,580,264,367,676,240,466,385
314,268,300,92,85,278,245,226,505,251,417,641,235,503,388
220,195,289,79,71,283,259,224,464,236,643,650,236,389,400
280,231,310,89,75,304,259,229,691,247,413,654,238,475,404
321,294,279,57,54,272,244,229,545,233,436,630,236,398,410
348,305,292,104,96,280,245,218,474,233,354,675,235,528,419
359,320,288,95,85,285,259,230,543,241,524,695,237,510,434
378,343,282,191,165,297,230,599,624,241,427,664,230,426,475
436,399,280,139,126,281,242,233,463,238,417,653,234,394,477
475,433,281,99,94,268,243,228,571,236,453,680,245,386,479
481,452,273,161,144,287,250,540,617,244,465,638,252,414,513
316,289,280,114,104,282,258,230,469,223,453,654,246,419,517
397,357,285,240,211,291,256,233,565,239,523,692,231,400,517
341,293,297,102,94,276,259,223,557,232,426,700,241,422,529
211,195,278,139,115,310,247,231,615,250,434,701,227,426,536
182,167,279,167,147,291,252,228,507,225,391,714,239,426,568
234,203,295,141,125,291,230,244,383,234,367,726,233,409,571
334,294,290,104,98,272,254,223,535,230,400,667,239,531,578
252,232,278,107,97,282,254,232,577,243,429,618,229,466,581
370,334,284,131,122,274,252,232,584,263,501,720,230,490,592
352,311,290,88,83,271,231,225,524,239,415,696,240,576,593
362,325,284,132,121,280,241,237,511,281,408,687,230,540,618
303,255,304,81,74,281,249,232,531,231,376,709,247,450,631
200,169,302,89,79,286,239,213,644,249,455,600,240,410,638
239,207,295,88,81,280,246,234,536,237,398,686,237,457,640
325,283,293,98,91,276,248,223,518,241,520,645,239,474,659
511,472,277,178,159,286,246,234,584,286,503,798,239,647,673
338,300,289,82,76,277,256,238,443,233,533,694,226,474,676
593,541,280,70,65,275,242,227,592,249,415,674,243,483,690
497,451,282,120,115,268,257,587,527,249,430,621,237,464,698
293,263,286,112,103,278,238,233,507,236,458,655,242,393,735
276,243,291,160,142,288,261,253,594,223,406,697,234,477,779
428,377,291,100,92,277,252,234,580,241,425,637,231,426,791
401,362,284,118,108,279,252,239,605,263,413,624,232,528,794
507,471,276,74,69,275,238,248,603,246,416,686,232,535,819
237,202,301,155,138,287,249,227,463,269,358,674,238,518,837
195,157,319,94,78,306,237,518,606,234,370,715,232,559,856
517,476,278,94,89,271,261,233,568,222,429,668,244,395,882
591,525,288,140,124,291,250,666,616,242,508,685,324,429,884
500,458,280,129,117,281,252,238,569,245,439,731,255,519,886
368,325,290,151,139,277,248,230,560,236,414,646,245,431,921
265,234,290,120,112,274,247,228,576,230,387,699,215,391,933
319,286,286,80,73,282,257,233,495,223,490,688,233,474,950
778,682,292,297,266,286,298,232,735,263,561,701,255,514,975
315,275,293,95,87,278,257,243,531,227,368,678,239,511,1011
291,233,320,67,61,284,243,229,494,268,391,645,237,401,1023
341,309,283,84,80,270,249,231,553,234,425,674,232,477,1023
